k|packed
B|848232_32979|2026-07M~0,0,1,0 2026-08~0,0,1,0 2026-07~0,0,1,0 06-18~0,0,1,0 08-09~0,0,1,0 all~1,0,6,1 06-12~0,0,1,1 05-29~0,0,1,0 2026-06~1,0,2,1 07-01~0,0,1,0 2026-05~0,0,1,0
B|8580080_482180|all~0,0,1,0 07-18~0,0,1,0 2026-07~0,0,1,0
B|86046786_483549|2026-08~1,0,0,0 08-31~1,0,0,0 all~1,0,0,0
B|86046786_501383|08-10~0,0,1,0 08-16~2,0,2,0 08-05~1,0,0,0 all~13,2,13,1 08-26~0,0,1,0 08-04~0,0,1,0 08-22~0,0,1,0 08-06~1,0,1,0 07-26~0,0,1,0 08-07~2,0,0,0 08-13~0,0,1,0 08-17~1,0,0,0 2026-09~1,0,0,0 08-11~0,0,1,0 09-01~1,0,0,0 2026-08~10,2,11,1 2026-07~1,0,2,0 07-27~1,0,1,0 08-08~0,0,1,0 08-03~1,1,0,0 08-15~1,1,0,0 2026-09M~1,0,0,0
B|86046786_503972|2026-08~0,0,1,1 08-11~0,0,1,1 all~0,0,1,1
B|86046786_503973|2026-08~1,0,0,0 all~1,0,0,0 08-03~1,0,0,0
B|865322_424088|2026-08~0,0,1,0 06-10~0,0,1,0 all~2,0,13,5 2026-06~2,0,5,1 07-09~1,0,0,0 2026-07~1,0,2,2 2026-07M~0,0,1,1 06-15~0,0,1,0 07-02~0,0,1,1 08-19~0,0,1,0 06-29~0,0,1,0 2026-05~0,0,1,1 06-03~0,0,1,0
B|93729810_435474|05-16~0,0,1,1 all~1,0,2,2 2026-05~1,0,2,2
B|95416146_431721|2026-06~0,0,1,0 06-27~0,0,1,0 all~0,0,1,0
B|95633118_433604|2026-05~0,0,2,1 05-13~0,0,1,0 05-16~0,0,1,1 all~0,0,2,1
B|96688578_487867|08-03~0,0,1,1 2026-08~0,0,1,1 06-03~0,0,1,0 all~2,1,7,5 05-23~1,0,0,0 06-10~1,0,1,1 2026-06~1,0,4,3 06-24~0,0,1,1 05-25~0,0,1,1 2026-05~1,1,1,1
B|97211948_443009|05-27~0,0,1,0 all~0,0,4,1 2026-05~0,0,1,0
B|97211948_501841|08-27~0,0,1,0 07-28~0,0,1,1 07-26~0,0,1,0 2026-07~0,0,2,1 08-14~1,0,0,0 all~3,2,6,3 08-26~0,0,1,1 2026-08~3,2,4,2 08-13~0,0,1,0 08-21~1,1,0,0 08-07~0,0,1,1
B|97460169_493111|08-13~0,0,3,1 07-21~3,0,7,2 08-02~1,0,3,0 07-23~0,0,3,2 2026-05~1,0,3,0 08-17~1,1,2,0 07-19~0,0,3,2 07-31~1,0,2,0 08-31~1,1,0,0 2026-08M~1,0,3,0 07-27~0,0,1,1 05-29~0,0,1,0 2026-08~19,13,55,6 08-24~0,0,2,0 05-20~1,0,1,0 08-04~1,1,0,0 2026-09M~0,0,2,0 06-07~0,0,2,1 08-23~0,0,5,0 08-19~1,0,2,1 2026-09~0,0,2,0 all~37,18,119,35 07-10~1,0,0,0 08-26~0,0,1,0 08-07~0,0,1,0 08-22~3,1,1,0 08-05~1,1,2,0 07-20~2,0,7,4 06-24~0,0,4,0 07-26~0,0,3,3 07-17~0,0,2,2 08-20~0,0,1,0 2026-07M~1,0,1,0 08-25~1,0,4,0 09-02~0,0,2,0 08-11~2,2,0,0 07-08~0,0,1,0 08-10~1,0,1,0 07-25~0,0,1,1 08-21~1,1,4,0 08-08~0,0,2,1 08-16~0,0,1,0 07-18~1,0,2,0 06-20~0,0,1,1 2026-06M~1,1,0,0 07-03~0,0,1,0 07-16~0,0,2,1 07-09~0,0,1,0 06-11~1,0,1,1 06-02~1,1,0,0 07-06~0,0,1,0 07-30~1,1,0,0 06-28~0,0,1,0 07-22~0,0,2,1 08-15~0,0,9,1 08-18~1,1,2,1 07-28~1,1,2,1 08-28~1,1,0,0 07-01~1,0,1,0 07-29~1,0,0,0 08-09~0,0,1,0 2026-06~3,1,9,3 2026-07~13,2,48,25
B|97460169_493964|all~0,0,1,0
B|97460169_493965|08-20~0,0,3,0 08-01~2,0,6,0 07-21~0,0,4,0 05-20~0,0,1,0 06-26~1,0,13,1 08-10~0,0,1,0 2026-05~1,0,5,0 06-24~0,0,4,1 08-06~1,0,1,0 08-09~0,0,2,0 06-04~2,0,11,0 07-18~0,0,3,0 08-23~0,0,1,0 07-01~2,1,15,0 06-27~1,0,13,0 08-13~0,0,5,0 07-14~2,0,3,0 07-10~0,0,1,0 06-08~2,0,19,0 06-05~1,0,20,0 07-19~0,0,1,0 07-23~3,0,14,0 06-07~4,0,27,0 07-25~1,0,6,0 07-24~0,0,11,0 07-13~2,0,2,0 07-05~1,0,2,0 07-20~0,0,4,0 07-27~1,0,9,0 07-17~0,0,1,0 08-04~0,0,2,0 2026-07~27,2,163,1 07-22~1,0,8,0 07-04~0,0,1,0 2026-08M~4,0,15,0 08-14~0,0,1,0 07-02~0,0,2,0 07-09~1,0,1,0 07-06~1,0,2,0 07-11~0,0,1,0 08-19~0,0,1,0 06-30~2,0,24,0 07-28~0,0,11,0 08-21~1,0,2,0 08-16~0,0,1,0 07-07~0,0,2,0 06-25~2,0,5,0 07-29~5,0,15,0 05-30~0,0,1,0 05-28~1,0,0,0 07-15~0,0,4,0 08-22~0,0,1,0 2026-08~10,0,49,0 06-03~0,0,2,0 06-29~0,0,7,0 07-31~0,0,3,0 08-17~2,0,2,0 08-03~0,0,4,0 all~67,4,448,5 05-16~0,0,1,0 2026-06~23,0,215,4 08-24~1,0,2,0 06-06~1,0,24,0 2026-07M~2,1,17,0 07-26~1,0,12,0 05-24~0,0,1,0 08-02~2,0,9,0 07-30~1,1,4,0 06-28~3,0,21,0 07-16~0,0,3,0 07-12~2,0,5,0
B|97460169_494343|05-17~2,0,2,0 2026-06~0,0,1,0 05-23~0,0,3,0 05-19~0,0,1,0 05-21~0,0,1,0 all~4,0,19,2 05-16~0,0,1,0 2026-05~3,0,17,2 05-26~0,0,1,0 05-18~1,0,3,1 05-14~0,0,1,0 05-25~0,0,1,0
B|97460169_494354|all~6,1,43,0 06-03~0,0,2,0 06-04~0,0,1,0 07-02~0,0,1,0 2026-07M~0,0,3,0 05-27~1,0,2,0 06-20~1,0,2,0 05-22~0,0,2,0 2026-06~3,1,23,0 06-08~0,0,1,0 05-24~0,0,1,0 05-28~0,0,5,0 2026-07~0,0,3,0 06-05~0,0,3,0 06-23~0,0,1,0 06-16~1,0,1,0 05-31~0,0,2,0 06-11~0,0,1,0 07-01~0,0,2,0 06-19~0,0,1,0 06-26~0,0,1,0 06-21~0,0,2,0 06-18~0,0,1,0 06-29~0,0,1,0 2026-05~3,0,14,0 06-15~0,0,2,0 06-07~0,0,1,0 05-29~1,0,1,0
B|97460169_494355|2026-05~0,0,4,0 all~1,0,6,0 05-24~0,0,1,0 06-09~1,0,1,0 05-17~0,0,2,0 2026-06~1,0,1,0 05-28~0,0,1,0
B|97460169_495506|06-17~0,0,1,0 05-20~0,0,1,0 2026-06~0,0,2,0 2026-06M~0,0,1,0 2026-05~0,0,2,0 06-01~0,0,1,0 all~0,0,5,0 05-25~0,0,1,0
B|97460169_495953|all~21,1,155,1 06-10~3,1,1,0 06-29~1,0,1,0 05-28~0,0,9,0 07-01~1,0,2,0 2026-06M~0,0,8,0 07-02~0,0,2,0 2026-06~15,1,89,0 06-03~0,0,5,0 06-23~0,0,1,0 2026-07M~1,0,5,0 2026-07~3,0,15,1 06-24~0,0,1,0 08-20~0,0,1,0 06-04~0,0,3,0 05-27~0,0,4,0 2026-05~0,0,36,0 06-11~0,0,5,0 2026-08~0,0,2,0 06-01~0,0,4,0 06-05~0,0,9,0 06-22~1,0,1,0 07-11~0,0,1,0 06-09~1,0,5,0 06-27~0,0,1,0 06-07~0,0,2,0 05-29~0,0,11,0 06-02~0,0,4,0 07-07~1,0,2,0 07-20~0,0,1,1 08-02~0,0,1,0 07-14~0,0,1,0 06-06~1,0,10,0 06-13~1,0,0,0 06-08~0,0,7,0 06-14~2,0,1,0 2026-08M~0,0,1,0 05-30~0,0,2,0 07-03~0,0,2,0 06-12~0,0,7,0 05-31~0,0,10,0
B|97460169_495954|2026-05~0,0,1,0 05-28~0,0,1,0 all~0,0,1,0
B|97460169_503029|all~1,1,3,1 07-19~0,0,1,0 07-18~1,1,2,1 2026-07~1,1,3,1
B|97460169_504118|2026-08~0,0,5,0 08-04~0,0,1,0 2026-07~1,0,4,0 2026-08M~0,0,4,0 all~1,0,9,0 08-02~0,0,2,0 07-30~0,0,1,0 08-01~0,0,2,0 07-29~1,0,3,0
B|97460169_504221|08-11~0,0,1,0 all~1,0,1,0 2026-08~0,0,1,0 2026-07~1,0,0,0
B|kaxura123|2026-07~1,0,1,0 all~1,0,1,0
S|$direct|05-23~1,0,5,5 06-27~0,0,1,0 08-24~0,0,1,1 07-05~2,0,2,0 2026-06~28,7,192,95 08-12~0,0,7,2 05-21~1,1,8,7 07-27~1,0,2,1 06-18~2,0,6,6 08-19~0,0,3,3 09-01~0,0,9,0 06-26~0,0,4,1 06-20~2,1,6,4 05-26~0,0,9,9 05-17~0,0,3,2 08-28~1,0,1,1 05-22~2,0,9,9 05-25~0,0,10,8 06-13~0,0,6,3 06-25~0,0,4,2 2026-08M~0,0,5,0 08-06~1,0,1,0 06-07~0,0,15,5 08-04~0,0,1,1 07-03~0,0,4,4 07-24~0,0,1,0 07-06~1,0,8,7 06-04~1,0,15,7 06-12~3,0,6,2 07-29~2,0,4,0 08-05~1,0,3,2 06-05~2,1,13,6 05-24~1,1,11,8 08-08~0,0,17,15 08-21~4,1,4,4 05-19~1,0,2,2 05-30~2,1,2,2 06-02~0,0,4,4 2026-08~27,9,122,92 07-17~0,0,11,9 07-02~0,0,6,2 07-07~1,0,4,3 2026-09~1,1,19,3 05-29~0,0,6,5 2026-09M~1,1,19,3 05-18~2,0,13,7 08-29~0,0,3,2 07-09~0,0,7,2 06-11~1,0,8,3 06-17~1,0,2,0 07-16~0,0,5,5 09-02~1,1,10,3 2026-07~31,5,185,135 06-10~0,0,2,2 07-08~1,0,6,2 06-30~0,0,2,0 07-28~1,0,6,3 06-03~0,0,9,4 08-25~3,2,1,1 2026-07M~1,0,9,3 08-13~0,0,4,4 07-22~1,0,0,0 08-27~0,0,3,3 07-10~0,0,10,10 06-08~2,0,16,4 05-14~0,0,4,4 06-16~0,0,5,1 06-01~1,0,1,1 07-19~0,0,2,2 07-21~0,0,11,11 05-28~1,0,5,3 06-29~0,0,1,0 07-31~3,0,3,1 08-11~0,0,7,4 08-23~0,0,2,2 08-18~0,0,2,2 07-12~0,0,4,3 05-13~1,1,3,0 08-20~0,0,4,4 08-01~0,0,5,0 07-30~2,1,3,1 06-24~0,0,2,2 2026-05~24,9,161,130 06-09~1,0,3,2 07-11~0,0,8,7 05-20~0,0,9,8 08-16~1,0,0,0 05-15~0,0,4,4 07-13~1,1,3,3 07-15~0,0,13,13 06-22~0,0,1,0 06-15~0,0,4,1 2026-06M~1,0,5,5 06-06~0,0,16,2 08-07~1,0,5,4 07-14~0,0,5,3 07-23~2,0,3,1 08-03~4,0,0,0 08-14~1,1,5,4 06-23~0,0,1,1 07-18~1,0,8,7 07-01~1,0,3,0 06-19~1,1,2,1 07-26~1,1,5,3 07-20~0,0,7,5 08-17~2,0,2,0 08-15~1,0,11,10 08-31~0,0,5,2 05-27~0,0,9,7 05-16~1,1,10,7 all~122,38,737,490 08-10~0,0,4,3 07-25~0,0,1,0 05-31~0,0,5,4 06-14~1,0,3,1
S|(none)|2026-07~1,0,0,0 07-14~1,0,0,0 all~1,0,0,0
S|25bahisno1.com|all~1,1,1,1 2026-06~0,0,1,1 06-10~0,0,1,1
S|agomuk.com|all~1,0,0,0 08-10~1,0,0,0 2026-08~1,0,0,0
S|argentina-bonusesfinder.com|2026-05~0,0,1,1 all~0,0,1,1
S|askbonus.com|all~1,1,0,0 2026-08~1,1,0,0 08-24~1,1,0,0
S|at.casinohex.at|all~1,1,0,0
S|beacons.ai|08-01~1,0,0,0 07-27~1,0,0,0 06-15~1,0,0,0 06-14~2,0,0,0 2026-09~1,1,0,0 07-31~1,0,1,1 05-21~1,0,0,0 all~18,8,4,4 2026-05~3,1,0,0 06-12~1,0,0,0 2026-08M~1,0,0,0 06-02~1,1,0,0 09-02~1,1,0,0 07-15~1,0,0,0 06-21~1,1,0,0 08-10~1,0,0,0 2026-08~3,0,1,0 2026-07~4,0,2,2 06-22~1,0,0,0 05-15~1,1,0,0 08-30~1,0,0,0 05-17~1,0,0,0 2026-06~7,2,0,0 2026-06M~1,1,0,0 07-04~1,0,0,0 2026-09M~1,1,0,0
S|bestcrypto4u.com|2026-05~0,0,1,0 05-13~0,0,1,0 all~0,0,1,0
S|bet.smartbettingguide.com|05-22~0,0,1,1 2026-05~0,0,1,1 08-12~0,0,1,1 2026-08~0,0,3,3 2026-06~0,0,1,1 06-08~0,0,1,1 08-07~0,0,1,1 all~0,0,5,5 08-30~0,0,1,0
S|bitcoincasinousa.com|all~0,0,1,0 2026-08~0,0,1,0 08-31~0,0,1,0
S|bitcoinchaser.com|06-10~1,0,0,0 2026-06~1,0,1,0 08-27~0,0,1,0 all~2,1,5,2 06-07~0,0,1,0 05-27~0,0,1,0 2026-08~1,1,2,1 08-26~0,0,1,1 2026-05~0,0,1,0
S|bitcointalk.org|2026-08~0,0,2,2 08-30~0,0,1,1 2026-06~0,0,1,1 08-26~0,0,1,1 all~0,0,3,3
S|blockchainwelt.de|06-13~0,0,1,1 2026-07~1,1,1,0 06-28~0,0,1,0 05-28~1,0,0,0 05-19~0,0,1,1 all~2,1,6,4 06-10~0,0,1,1 2026-05~1,0,1,1 07-09~0,0,1,0 07-17~1,1,0,0 2026-06~0,0,3,2
S|bojoko.ca|2026-06~1,1,0,0 06-04~1,1,0,0 all~1,1,0,0
S|bonukset.net|08-11~1,0,0,0 2026-07~1,0,1,1 all~6,2,2,2 08-27~1,0,0,0 07-24~0,0,1,1 08-31~1,1,0,0 08-06~1,1,0,0 2026-08~5,2,0,0 07-14~1,0,0,0 08-24~1,0,0,0
S|bonuscasino.org|all~0,0,1,0 2026-06~0,0,1,0 06-08~0,0,1,0
S|bookiesheist.com|2026-08~1,1,0,0 all~1,1,0,0 08-17~1,1,0,0
S|bulgaria-bonusesfinder.com|05-14~0,0,1,0 all~0,0,1,0 2026-05~0,0,1,0
S|casino.guru|07-10~0,0,1,1 2026-08~0,0,1,1 08-23~0,0,1,1 2026-07~0,0,1,1 2026-06~0,0,1,1 all~0,0,3,3 06-17~0,0,1,1
S|casinobee.com|2026-08~4,2,5,0 2026-07~1,0,0,0 08-31~1,0,0,0 09-01~0,0,1,0 08-30~0,0,1,0 08-29~0,0,1,0 08-08~0,0,1,0 08-01~1,0,0,0 08-07~0,0,1,0 2026-09M~0,0,3,0 07-31~1,0,0,0 09-02~0,0,2,0 08-03~1,1,0,0 2026-08M~1,0,0,0 all~5,2,8,0 2026-09~0,0,3,0 08-16~1,1,0,0
S|casinobonuscodes365.com|all~1,0,1,0 2026-05~1,0,1,0 05-26~1,0,1,0
S|casinoguru-gr.com|2026-07~1,0,0,0 07-27~1,0,0,0 all~1,0,0,0
S|casinoguru.lt|all~0,0,1,0 2026-07~0,0,1,0 07-22~0,0,1,0
S|casinohex.jp|all~0,0,1,1 2026-08~0,0,1,1
S|casinohipster.com|2026-06~0,0,1,0 06-14~0,0,1,0 all~0,0,1,0
S|casinolandia.com|2026-08~0,0,1,0 2026-07~0,0,1,0 all~0,0,5,0 2026-06~0,0,2,0 2026-05~0,0,1,0 08-15~0,0,1,0 05-20~0,0,1,0 07-06~0,0,1,0
S|casinosblockchain.io|all~1,1,0,0
S|casinosland.org|07-27~1,1,0,0 all~1,1,0,0 2026-07~1,1,0,0
S|chatgpt.com|05-18~0,0,1,0 2026-06~0,0,1,1 06-07~0,0,1,1 2026-05~0,0,1,0 06-06~0,0,1,0 all~1,1,3,1
S|chipy.com|2026-05~0,0,1,1 2026-06~0,0,2,1 08-14~0,0,2,0 2026-08~0,0,2,0 all~0,0,9,3 06-29~0,0,1,0
S|coincodex.com|2026-06~0,0,1,1 all~0,0,1,1
S|com.google.android.gm|06-01~0,0,1,0 2026-05~1,0,4,2 07-07~0,0,1,0 06-03~0,0,1,0 05-31~0,0,1,0 06-04~0,0,1,0 06-08~0,0,1,0 all~2,0,20,4 2026-06M~0,0,2,0 06-02~0,0,1,0 05-27~0,0,1,1 2026-07~0,0,4,1 05-15~0,0,1,1 07-03~0,0,1,0 06-22~0,0,1,0 06-26~0,0,1,0 05-26~1,0,1,0 2026-06~0,0,10,1
S|com.google.android.googlequicksearchbox|2026-05~0,0,1,1 2026-06M~0,0,1,0 all~0,0,3,2 2026-06~0,0,1,0 06-02~0,0,1,0 05-15~0,0,1,1
S|com.twitter.android|2026-09~0,0,1,1 2026-09M~0,0,1,1 09-02~0,0,1,1 all~0,0,1,1
S|croatia-bonusesfinder.com|2026-05~0,0,1,0 all~0,0,1,0 05-30~0,0,1,0
S|cryptocasinos.com|2026-06~0,0,1,0 06-03~0,0,1,0 2026-07~1,0,0,0 07-19~1,0,0,0 all~1,0,1,0
S|cryptoslate.com|05-26~0,0,1,1 2026-07~1,0,1,0 all~1,0,2,1 07-04~1,0,1,0 2026-05~0,0,1,1
S|dappgambl.com|all~3,1,9,7 2026-09M~0,0,1,0 05-31~0,0,1,1 2026-09~0,0,1,0 05-25~0,0,1,1 07-22~0,0,1,1 07-01~1,1,0,0 2026-06~1,0,0,0 07-05~0,0,1,1 2026-05~0,0,2,2 2026-07~2,1,2,2 2026-07M~1,1,0,0 09-01~0,0,1,0 2026-08~0,0,1,1 07-07~1,0,0,0
S|de.slotsup.com|all~1,1,0,0 07-18~1,1,0,0 2026-07~1,1,0,0
S|duckduckgo.com|2026-05~0,0,1,1 all~0,0,1,1 05-31~0,0,1,1
S|efirbet.com|06-16~0,0,1,0 2026-05~0,0,1,0 all~0,0,3,1 05-20~0,0,1,0 2026-06~0,0,2,1
S|es.pornhub.com|all~1,1,0,0 07-29~1,0,0,0 2026-07~1,0,0,0
S|ezchthere.xyz|2026-05~1,1,2,0 all~1,1,2,0 05-17~0,0,2,0
S|fortunejack.com|06-08~2,1,25,9 07-10~11,5,23,16 2026-07M~21,5,40,18 08-06~9,4,15,5 08-23~6,3,13,4 09-01~5,4,6,3 08-19~5,0,15,11 08-03~9,7,19,8 07-12~5,3,28,21 08-30~8,2,2,2 05-15~5,4,22,21 06-17~6,1,14,6 07-27~12,6,12,3 06-20~8,5,16,8 07-02~11,2,20,10 08-07~18,10,17,9 06-07~5,1,36,11 06-28~10,3,20,11 07-30~5,4,10,4 08-13~5,2,30,23 07-17~11,5,15,11 07-21~5,0,27,13 05-28~6,1,7,4 08-14~8,6,4,2 2026-07~349,151,748,472 08-04~16,6,6,2 06-02~3,2,13,6 05-27~4,1,8,5 08-18~5,3,15,10 05-16~3,2,23,19 all~1015,462,2450,1571 05-31~1,1,8,3 05-13~3,1,8,3 06-03~2,1,11,4 07-23~9,1,17,4 2026-06M~5,4,22,9 07-31~13,4,14,5 06-29~12,1,29,23 08-11~7,6,30,21 06-06~4,1,23,6 08-15~5,2,20,6 06-14~17,4,20,8 07-25~3,0,19,10 09-02~6,2,7,3 07-05~7,3,11,7 07-28~10,7,20,16 06-30~10,3,24,11 08-05~10,6,21,16 08-24~8,5,9,4 2026-09~11,6,13,6 05-17~5,4,26,24 2026-08M~19,6,37,16 06-24~8,5,36,17 2026-08~263,131,517,317 08-01~13,5,7,0 06-16~6,3,10,6 06-15~12,2,17,8 08-27~3,1,10,6 08-17~8,3,10,5 07-19~14,9,27,23 06-01~2,2,8,2 08-22~9,3,13,4 08-25~7,4,9,2 08-16~5,2,11,7 06-11~6,4,14,5 07-09~14,9,34,21 07-14~8,4,30,22 05-21~3,2,16,15 06-27~3,0,39,26 07-20~12,5,27,16 06-19~8,3,17,13 07-01~10,3,19,7 07-22~9,7,18,12 08-09~9,5,10,6 07-15~9,5,20,14 06-25~10,1,33,24 05-23~2,1,21,18 05-24~8,8,11,10 2026-06~244,79,745,425 07-29~14,5,17,8 07-06~6,1,13,1 2026-05~77,47,299,250 07-16~12,5,18,12 05-20~3,2,15,14 05-25~3,2,21,19 05-29~4,0,9,7 08-20~2,1,8,5 06-21~5,0,8,6 06-23~3,0,21,17 06-18~8,2,17,14 08-29~6,4,10,7 08-31~5,1,11,10 07-07~7,3,11,7 05-18~2,0,15,11 06-12~12,4,11,6 07-26~5,1,16,5 07-04~7,1,11,3 08-26~6,2,14,11 06-13~14,2,40,16 08-08~7,3,18,12 08-21~12,6,15,7 08-28~5,1,5,3 07-08~4,2,24,13 06-10~5,1,21,13 06-26~6,1,32,25 06-22~9,2,16,12 05-14~1,0,8,8 08-10~7,2,14,7 07-18~14,8,32,17 08-02~6,1,25,14 08-12~4,4,24,16 07-13~12,3,31,24 05-26~1,1,10,8 07-11~14,2,29,21 06-09~1,0,13,5 2026-09M~11,6,13,6 07-03~13,6,18,12 06-05~3,1,24,2 05-30~1,1,1,0 07-24~9,4,18,9 05-22~1,1,13,13 06-04~4,0,19,8 05-19~4,1,12,10
S|fortunejack.dev|07-28~1,0,0,0 2026-07~1,0,0,0 all~1,0,0,0
S|fullycrypto.com|06-26~0,0,1,0 2026-05~0,0,1,0 all~0,0,2,0 2026-06~0,0,1,0
S|gameheavenmax.shop|08-01~0,0,1,0 2026-08M~0,0,1,0 2026-08~0,0,1,0 all~0,0,1,0
S|glacialfulfilled.shop|all~1,1,0,0 08-07~1,1,0,0 2026-08~1,1,0,0
S|go.canadacasino.ca|2026-08~0,0,1,0 08-24~0,0,1,0 all~0,0,1,0
S|godliketips.net|07-13~0,0,1,1 2026-07~0,0,1,1 08-27~1,0,0,0 08-25~0,0,1,1 08-28~0,0,1,1 2026-08~1,0,2,2 all~1,0,3,3
S|gonlinecasino.com|all~2,1,0,0 2026-05~1,1,0,0 06-06~1,0,0,0 05-29~1,1,0,0 2026-06~1,0,0,0
S|guildtech.net|all~0,0,1,0 2026-07~0,0,1,0
S|hellagood.marketing|all~0,0,1,1 2026-06~0,0,1,1
S|heylink.me|2026-08~0,0,1,0 all~0,0,1,0 08-10~0,0,1,0
S|hmkasinoindonesia.com|2026-05~0,0,1,0 05-21~0,0,1,0 all~0,0,1,0
S|hottopcasino.com|2026-05~0,0,1,0 all~0,0,2,0 2026-06~0,0,1,0 06-29~0,0,1,0 05-31~0,0,1,0
S|indonesia-bonusesfinder.com|2026-05~0,0,1,0 2026-06~0,0,1,1 all~0,0,2,1 05-22~0,0,1,0
S|instagram.com|07-05~0,0,1,0 06-13~1,0,0,0 05-25~0,0,1,0 06-22~0,0,2,1 06-07~0,0,1,0 05-19~0,0,1,0 05-23~0,0,1,0 06-27~0,0,2,0 07-02~0,0,2,0 06-14~1,0,1,0 06-23~0,0,2,0 08-04~0,0,1,0 05-29~0,0,3,0 06-30~0,0,2,0 08-03~0,0,1,0 07-26~0,0,2,0 06-20~1,0,1,0 2026-06M~0,0,4,0 06-16~0,0,1,0 07-19~0,0,1,0 05-22~0,0,1,0 2026-07~8,3,38,1 07-23~0,0,2,0 07-09~1,0,0,0 08-09~0,0,1,0 08-02~0,0,2,0 07-27~0,0,1,0 07-28~0,0,2,0 05-20~0,0,1,0 06-28~1,0,2,0 05-17~1,0,1,0 06-21~1,0,0,0 05-16~0,0,5,2 06-08~0,0,1,0 06-10~0,0,2,0 08-23~0,0,1,0 07-06~0,0,2,0 08-16~0,0,1,0 06-25~0,0,3,0 07-15~0,0,1,0 07-25~0,0,3,0 06-11~0,0,2,0 07-07~1,0,1,0 05-18~0,0,1,0 06-06~1,0,3,0 06-24~0,0,1,0 06-01~0,0,1,0 07-24~0,0,4,0 08-01~0,0,1,0 05-30~0,0,1,0 2026-05~2,0,23,6 2026-08~2,0,12,1 06-29~1,0,1,0 06-12~0,0,2,0 2026-08M~0,0,3,0 06-04~0,0,2,0 07-18~1,1,1,1 07-03~0,0,1,0 06-15~0,0,1,0 05-27~0,0,1,0 2026-07M~1,1,4,0 07-14~0,0,2,0 06-02~0,0,3,0 07-13~1,0,1,0 all~25,3,131,9 07-22~0,0,2,0 07-29~1,0,3,0 08-15~1,0,0,0 06-26~0,0,1,0 07-30~1,1,1,0 05-28~0,0,2,0 2026-06~10,0,47,1 08-24~0,0,1,0 06-17~0,0,2,0 07-01~1,1,2,0 05-31~0,0,2,0
S|kasinoaula.com|2026-07~1,1,0,0 07-08~1,1,0,0 all~1,1,0,0
S|keitaro.fortunejack.com|06-01~0,0,1,0 2026-06~1,0,8,0 07-09~0,0,1,0 07-17~0,0,1,0 06-30~0,0,1,0 2026-08M~0,0,1,0 2026-08~0,0,1,0 06-15~0,0,1,0 06-03~0,0,2,0 06-05~0,0,1,0 all~4,1,16,0 06-25~0,0,1,0 2026-06M~0,0,1,0 07-23~0,0,1,0 07-16~0,0,1,0 08-01~0,0,1,0 06-16~1,0,0,0 2026-07~2,1,6,0 06-29~0,0,1,0 07-31~0,0,1,0
S|l.facebook.com|06-20~0,0,2,0 07-27~0,0,2,0 06-17~0,0,2,0 08-11~0,0,2,0 06-08~0,0,1,0 06-07~0,0,1,0 06-27~1,0,0,0 05-13~1,1,0,0 06-11~0,0,1,0 2026-08~2,1,9,2 all~9,2,61,2 08-13~0,0,4,0 07-24~0,0,1,0 06-18~0,0,1,0 07-14~0,0,1,0 07-26~0,0,1,0 07-21~0,0,1,0 06-24~0,0,1,0 08-22~1,0,0,0 07-07~0,0,1,0 07-02~0,0,1,0 2026-07~3,0,16,0 05-24~0,0,1,0 07-15~1,0,0,0 07-01~1,0,3,0 2026-05~1,1,8,0 06-26~0,0,1,0 2026-06~3,0,25,0 06-09~0,0,1,0 07-11~0,0,1,0 06-30~1,0,4,0 05-28~0,0,3,0 08-19~0,0,1,0 2026-07M~1,0,5,0 05-30~0,0,2,0 05-23~0,0,1,0 05-29~0,0,1,0 07-20~1,0,1,0 07-30~0,0,1,0 06-28~0,0,5,0 06-21~0,0,1,0
S|l.instagram.com|05-15~0,0,2,1 2026-05~0,0,5,4 all~0,0,5,4 05-16~0,0,3,1
S|lazybuguru.lt|2026-05~5,3,3,2 06-25~0,0,1,1 05-14~0,0,1,1 05-22~1,1,1,0 all~5,4,4,3 05-20~2,1,0,0 2026-06~0,0,1,1 05-19~1,1,0,0 05-21~1,0,0,0
S|links.webopedia.com|08-31~0,0,1,1 2026-09M~0,0,1,0 2026-06~0,0,1,1 09-01~0,0,1,0 2026-08~0,0,1,1 all~0,0,3,2 06-27~0,0,1,1 2026-09~0,0,1,0
S|lipyix.com|08-18~0,0,1,0 all~0,0,1,0 2026-08~0,0,1,0
S|localhost:5173|2026-07~3,0,2,0 2026-09M~0,0,1,0 06-11~0,0,1,0 2026-09~0,0,1,0 06-04~1,0,0,0 06-08~1,0,0,0 09-01~0,0,1,0 2026-06M~1,0,1,0 06-10~4,0,0,0 all~13,0,4,0 06-03~1,0,0,0 07-13~2,0,1,0 2026-06~11,0,1,0 06-09~6,0,1,0 06-01~1,0,0,0
