k|packed
B|105301207_498825|07-02~0,0,2,0 08-15~0,0,2,0 06-30~1,0,2,0 08-24~1,1,0,0 07-06~2,0,5,0 2026-08~3,1,5,0 07-20~1,0,1,0 06-20~0,0,3,0 07-10~1,0,1,0 07-15~1,0,1,0 06-17~1,0,6,0 07-12~1,0,0,0 07-08~0,0,1,0 07-14~0,0,1,0 06-27~0,0,1,0 07-11~1,1,0,0 06-29~0,0,1,0 06-16~1,0,5,0 2026-06~11,1,40,1 08-05~1,0,0,0 06-18~0,0,1,0 06-22~0,0,1,0 07-01~1,0,2,0 06-19~2,1,3,0 06-25~0,0,4,0 08-16~0,0,1,0 06-28~2,0,3,0 07-19~1,1,0,0 06-26~0,0,2,0 07-03~0,0,1,0 07-22~0,0,1,0 07-07~0,0,2,0 2026-07M~1,0,4,0 2026-07~12,3,23,0 08-12~0,0,1,0 08-23~0,0,1,0 08-21~1,0,0,0 06-24~2,0,2,0 07-04~0,0,1,0 07-05~0,0,2,0 07-09~2,1,0,0 all~27,5,73,2 06-15~0,0,2,1 07-17~0,0,1,0 06-21~1,0,1,0
B|105301207_501664|2026-07~4,2,10,1 08-22~1,0,0,0 07-17~1,1,0,0 07-14~0,0,1,0 07-16~0,0,1,0 07-10~0,0,1,0 08-12~0,0,1,0 07-21~0,0,1,0 07-08~0,0,1,0 all~5,2,14,2 07-30~1,0,1,1 07-29~1,0,1,0 08-16~0,0,1,0 07-13~0,0,1,0 2026-08~1,0,3,0
B|105301207_501903|2026-07~1,0,0,0 all~1,0,0,0
B|105301207_505960|all~1,0,1,0 08-15~1,0,0,0 08-14~0,0,1,0 2026-08~1,0,1,0
B|105302925_492699|06-13~0,0,1,1 06-12~1,1,0,0 07-04~1,0,1,0 2026-06~1,1,2,1 2026-05~0,0,2,2 07-15~0,0,1,0 all~2,1,7,5 2026-07~1,0,3,1 05-26~0,0,2,2 07-19~0,0,1,1
B|105318264_492975|05-17~0,0,2,0 2026-05~1,1,2,0 all~1,1,2,0
B|105318755_492695|all~1,1,0,0 05-19~1,1,0,0 2026-05~1,1,0,0
B|105321308_494228|2026-05~10,10,1,1 05-25~1,1,0,0 05-22~1,1,0,0 all~10,10,1,1 05-24~7,7,0,0 05-21~1,1,0,0
B|105322126_497387|08-09~1,1,0,0 08-14~2,1,0,0 08-30~1,0,0,0 08-29~1,1,0,0 08-04~1,1,0,0 2026-07~3,3,0,0 06-24~0,0,1,0 08-21~1,0,0,0 08-24~1,0,0,0 08-23~1,1,1,0 06-11~1,1,0,0 06-28~4,2,1,1 07-10~1,1,0,0 08-07~1,1,0,0 2026-06~7,5,3,1 07-07~1,1,0,0 08-12~1,1,0,0 08-03~1,0,0,0 2026-08~14,9,2,1 all~24,18,5,2 08-18~1,1,1,1 07-13~1,0,0,0
B|105322905_492649|2026-07~1,0,0,0 all~1,0,0,0
B|105399418_493010|2026-05~0,0,2,2 05-19~0,0,1,1 all~0,0,2,2
B|105400053_493019|all~1,1,1,0 2026-05~1,1,1,0
B|105400053_493616|06-26~0,0,2,2 08-12~0,0,1,1 08-08~1,1,0,0 06-25~0,0,2,1 07-03~0,0,1,0 06-28~0,0,1,1 2026-09~0,0,1,1 2026-08~2,1,4,4 all~15,3,47,35 07-17~1,0,1,0 09-01~0,0,1,1 06-02~0,0,1,1 2026-09M~0,0,1,1 07-02~1,0,2,1 07-09~1,1,0,0 06-21~0,0,1,1 2026-06M~0,0,1,1 2026-06~0,0,14,10 05-14~0,0,1,1 06-24~0,0,1,1 07-19~0,0,2,2 05-18~0,0,1,1 06-10~0,0,1,0 2026-07~5,1,13,9 06-20~0,0,1,1 2026-07M~1,0,2,1 08-04~1,0,0,0 05-16~0,0,1,0 05-28~1,0,0,0 2026-05~2,0,5,3 05-25~0,0,2,1
B|105400053_493621|2026-05~0,0,1,1 2026-06M~0,0,1,0 all~0,0,4,3 06-02~0,0,1,0 06-11~0,0,1,1 2026-06~0,0,2,1
B|105400053_493848|all~0,0,1,1
B|105400053_494186|2026-05~0,0,1,1 2026-06~1,1,1,1 all~1,1,1,1
B|105400053_494488|all~1,1,1,1 05-13~1,1,0,0 2026-05~1,1,1,1
B|105400053_494605|all~1,0,2,2 2026-05~0,0,1,1
B|105400053_494716|all~0,0,4,4 05-16~0,0,2,2 2026-05~0,0,3,3
B|105400053_495159|2026-05~0,0,1,1 all~0,0,2,2
B|105400053_495886|2026-05~0,0,1,1 all~0,0,1,1
B|105400053_495906|all~1,1,1,1 2026-05~1,1,1,1
B|105400053_496443|05-17~0,0,1,1 2026-06~0,0,2,2 2026-05~0,0,2,2 all~0,0,4,4
B|105400053_496526|2026-06~1,0,1,1 all~1,0,2,2
B|105400053_496727|all~1,0,0,0 07-05~1,0,0,0 2026-07~1,0,0,0
B|105400053_496850|2026-06~0,0,6,5 06-10~0,0,1,1 2026-07~0,0,1,1 07-17~0,0,1,1 all~0,0,8,7 06-18~0,0,1,1
B|105400053_497199|all~0,0,1,1
B|105400053_498389|all~0,0,1,1
B|105400053_498391|2026-08~1,1,1,1 06-10~0,0,1,1 all~1,1,3,2 08-22~0,0,1,1 2026-06~0,0,2,1
B|105400053_498621|05-28~0,0,1,1 2026-06~0,0,1,1 06-12~0,0,1,1 06-13~0,0,1,1 2026-05~0,0,1,1 all~0,0,1,1
B|105400053_499044|2026-06~0,0,1,1 06-18~0,0,1,1 all~0,0,1,1
B|105400053_499794|2026-06~1,0,3,1 all~2,0,7,4 06-20~0,0,2,1 06-19~1,0,0,0
B|105400053_500017|all~0,0,1,1 07-18~0,0,1,1 2026-07~0,0,1,1
B|105400053_500027|06-24~0,0,1,0 all~0,0,1,0 2026-06~0,0,1,0
B|105400053_500065|all~0,0,2,2 2026-07~0,0,1,1 07-19~0,0,1,1 2026-06~0,0,1,1
B|105400053_500317|07-20~0,0,3,3 08-04~1,0,0,0 2026-06~0,0,1,0 07-13~0,0,1,0 08-07~0,0,1,1 2026-08~1,0,5,5 all~1,0,13,10 07-24~0,0,2,2 2026-07~0,0,7,5 06-26~0,0,1,0
B|105400053_500442|all~0,0,1,0
B|105400053_500785|all~0,0,1,1
B|105400053_500786|all~0,0,1,0
B|105400053_500818|all~0,0,1,1 2026-07~0,0,1,1
B|105400053_501391|2026-07~0,0,1,0 all~0,0,1,0 07-05~0,0,1,0
B|105400053_502463|2026-07~0,0,27,3 07-31~0,0,1,0 07-23~0,0,1,0 07-26~0,0,1,0 07-22~0,0,2,0 07-21~0,0,3,0 07-24~0,0,4,0 all~0,0,28,4 07-20~0,0,11,0
B|105400053_502806|2026-08~0,0,1,0 2026-06~0,0,1,1 08-30~0,0,1,0 2026-07~0,0,1,1 all~0,0,4,3
B|105400053_502897|all~2,1,2,1 2026-08~1,1,0,0 2026-05~1,0,1,1
B|105400053_502900|08-06~1,0,0,0 2026-07~0,0,2,2 07-31~0,0,1,1 08-05~1,0,0,0 08-17~1,0,0,0 2026-08~1,0,0,0 all~1,0,2,2
B|105400053_502976|07-19~0,0,2,2 all~0,0,4,3 07-17~0,0,1,0 2026-07~0,0,4,3
B|105400053_503063|all~0,0,1,1 2026-05~0,0,1,1
B|105400053_503431|all~0,0,2,1 2026-08~0,0,1,0
B|105400053_503435|all~0,0,1,1
