country|packed
Poland|fortunejack.com~2026-09~22,2,1,0,0,0,0,0,0 fortunejack.com~2026-05~7,0,0,0,0,0,0,0,0 com.google.android.gm~2026-08~4,0,0,0,0,0,0,0,0 srt.bitcoin.com~2026-06~14,14,13,1,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~37,2,1,1,0,0,0,0,0 www.google.com~2026-06~4,0,0,0,0,0,0,0,0 www.google.com~2026-09~5,0,0,0,0,0,0,0,0 $direct~2026-05~18,3,0,0,0,0,0,0,0 www.google.com~2026-08~9,1,1,0,0,0,0,0,0 fortunejack.com~2026-07~76,18,3,1,0,0,0,0,0 fortunejack.com~2026-06~10,1,1,0,0,0,0,0,0 $direct~2026-08~14,0,0,0,0,0,0,0,0 l.facebook.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-06~17,0,0,0,0,0,0,0,0 $direct~2026-09~13,0,0,0,0,0,0,0,0 com.google.android.gm~2026-07~6,0,0,0,0,0,0,0,0 $direct~2026-07~15,1,0,0,0,0,0,0,0 www.google.com~2026-05~4,0,0,0,0,0,0,0,0 com.google.android.gm~2026-09~5,0,0,0,0,0,0,0,0
Portugal|l.facebook.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-07~5,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~25,6,2,1,0,0,0,0,0 fortunejack.com~2026-08~14,2,1,1,0,0,0,0,0 $direct~2026-06~17,6,0,0,0,0,0,0,0 instagram.com~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~26,1,0,0,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-06~3,1,0,0,0,0,0,0,0 $direct~2026-05~31,18,0,0,0,0,0,0,0 fortunejack.com~2026-09~12,1,1,1,0,0,0,0,0 $direct~2026-09~7,1,0,0,0,0,0,0,0 fortunejack.com~2026-05~15,4,0,0,0,0,0,0,0
Puerto Rico|$direct~2026-05~8,0,0,0,0,0,0,0,0
Qatar|tracker-pm2.fortunejackpartners.com~2026-07~10,0,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~9,0,0,0,0,0,0,0,0 m.facebook.com~2026-07~21,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~9,0,0,0,0,0,0,0,0
Romania|com.google.android.gm~2026-06~4,1,0,0,0,0,0,0,0 m.facebook.com~2026-08~39,12,11,4,0,0,0,1,0 romania-casinobonusesfinder.com~2026-05~8,5,0,0,0,0,0,0,0 fortunejack.com~2026-05~14,3,0,0,0,0,0,0,0 $direct~2026-05~19,4,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-08~6,0,0,0,0,0,0,0,0 m.facebook.com~2026-06~27,12,6,3,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~6,1,1,1,0,0,0,0,0 l.facebook.com~2026-07~87,3,1,0,0,0,0,0,0 keitaro.fortunejack.com~2026-07~4,0,0,0,0,0,0,0,0 $direct~2026-08~10,3,2,1,0,0,0,1,0 www.google.com~2026-06~8,0,0,0,0,0,0,0,0 l.facebook.com~2026-08~13,1,1,1,0,0,0,0,0 www.protipster.ro~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~27,9,9,1,0,0,0,0,0 www.google.com~2026-05~5,4,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-08~4,1,1,0,0,0,0,0,0 $direct~2026-09~8,2,0,0,0,0,0,0,0 $direct~2026-06~30,3,2,0,0,0,0,0,0 $direct~2026-07~20,2,2,1,1,0,0,0,0 fortunejack.com~2026-06~25,5,4,3,1,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-06~6,1,1,1,0,0,0,0,0 fortunejack.com~2026-08~73,17,13,7,2,0,0,2,1 instagram.com~2026-06~9,3,3,2,0,0,0,0,0 l.facebook.com~2026-06~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-07~109,3,2,1,0,0,0,0,0 instagram.com~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~153,5,3,3,2,0,0,1,0
Russia|fortunejack.com~2026-09~3,1,1,1,0,0,0,0,0 fortunejack.com~2026-05~6,2,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~8,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~7,1,1,1,0,0,0,0,0
Saudi Arabia|fortunejack.com~2026-08~25,2,0,0,0,0,0,0,0 fortunejack.com~2026-05~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~6,0,0,0,0,0,0,0,0
Senegal|fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0
Serbia|tracker-pm2.fortunejackpartners.com~2026-06~10,2,1,1,0,0,0,1,0 $direct~2026-05~20,2,0,0,0,0,0,0,0 $direct~2026-07~20,2,1,0,0,0,0,0,0 fortunejack.com~2026-08~30,7,3,2,0,0,0,0,0 www.google.com~2026-05~4,0,0,0,0,0,0,0,0 $direct~2026-06~25,3,2,1,0,0,0,0,0 www.google.com~2026-06~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~79,3,3,3,1,2,0,1,1 $direct~2026-08~19,2,1,1,0,0,0,0,0 m.facebook.com~2026-07~72,6,3,1,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~12,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~4,0,0,0,0,0,0,0,0 instagram.com~2026-07~27,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~1765,2,1,1,0,0,0,0,0 www.google.com~2026-07~5,0,0,0,0,0,0,0,0 instagram.com~2026-08~21,1,0,0,0,0,0,0,0 l.facebook.com~2026-08~21,1,1,1,0,0,0,0,0 $direct~2026-09~14,0,0,0,0,0,0,0,0 m.facebook.com~2026-06~16,4,3,2,0,0,0,1,0 fortunejack.com~2026-06~14,6,5,3,0,0,0,2,0 m.facebook.com~2026-08~16,7,4,3,0,0,0,0,0 fortunejack.com~2026-09~9,0,0,0,0,0,0,0,0 instagram.com~2026-06~27,11,8,2,0,0,0,2,0
Seychelles|fortunejack.com~2026-08~12,0,0,0,0,0,0,0,0
Singapore|fortunejack.com~2026-09~12,2,1,0,0,0,0,0,0 fortunejack.com~2026-07~4,1,0,0,0,0,0,0,0
Slovakia|fortunejack.com~2026-08~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~10,3,2,2,1,0,0,1,1 fortunejack.com~2026-07~5,2,2,2,0,0,0,1,0 www.google.com~2026-06~3,1,1,1,0,0,0,0,0 $direct~2026-09~3,1,1,1,1,0,0,1,1 com.google.android.gm~2026-06~3,0,0,0,0,0,0,0,0 $direct~2026-06~4,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~6,3,2,2,0,0,0,0,0 $direct~2026-08~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0
Slovenia|$direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~7,2,0,0,0,0,0,0,0 fortunejack.com~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~10,2,0,0,0,0,0,0,0 fortunejack.com~2026-09~4,1,0,0,0,0,0,0,0
South Africa|www.google.com~2026-08~6,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~8,3,2,2,0,1,0,1,0 fortunejack.com~2026-09~22,4,3,1,0,0,0,0,0 fortunejack.com~2026-08~30,10,8,4,0,0,0,0,0 www.onlinecasinosonline.co.za~2026-05~6,2,0,0,0,0,0,0,0 plinko-game.org.za~2026-06~3,1,1,1,0,0,0,0,0 $direct~2026-06~33,6,2,1,0,0,0,0,0 com.google.android.gm~2026-05~4,1,0,0,0,0,0,0,0 www.google.com~2026-06~12,2,1,1,0,0,0,0,0 www.google.com~2026-05~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~77,26,18,10,0,0,0,2,0 nostrabet.com~2026-07~3,1,1,0,0,0,0,0,0 www.google.com~2026-09~6,0,0,0,0,0,0,0,0 silentbet.com~2026-06~6,4,3,0,0,0,0,0,0 silentbet.com~2026-07~6,6,4,3,0,0,0,1,0 com.google.android.gm~2026-07~19,2,1,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~5,3,1,0,0,0,0,0,0 $direct~2026-09~5,0,0,0,0,0,0,0,0 casino.zone~2026-06~4,2,1,1,0,0,0,0,0 www.google.com~2026-07~5,0,0,0,0,0,0,0,0 www.onlinecasinosonline.co.za~2026-06~6,4,2,1,0,0,0,1,0 com.google.android.gm~2026-08~8,0,0,0,0,0,0,0,0 plinko-game.org.za~2026-05~3,2,0,0,0,0,0,0,0 fortunejack.com~2026-06~13,3,3,0,0,0,0,0,0 $direct~2026-05~18,4,0,0,0,0,0,0,0 $direct~2026-08~16,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~34,3,1,1,0,0,0,1,0 m.facebook.com~2026-07~53,37,25,17,0,0,0,6,0 fortunejack.com~2026-05~6,0,0,0,0,0,0,0,0 www.nodeposithero.com~2026-06~3,3,2,0,0,0,0,0,0 $direct~2026-07~49,8,4,1,0,0,0,0,0
South Korea|fortunejack.com~2026-09~5,0,0,0,0,0,0,0,0
Spain|l.facebook.com~2026-08~56,2,2,1,0,0,0,0,0 www.google.com~2026-06~15,1,0,0,0,0,0,0,0 $direct~2026-07~44,9,1,1,0,0,0,0,0 fortunejack.com~2026-08~145,15,9,3,1,1,1,1,0 fortunejack.com~2026-07~88,6,4,1,0,0,0,1,0 www.google.com~2026-05~12,2,0,0,0,0,0,0,0 znaki.fm~2026-09~5,1,0,0,0,0,0,0,0 www.google.com~2026-07~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~23,5,0,0,0,0,0,0,0 www.google.com~2026-09~14,3,3,3,3,0,0,0,0 l.facebook.com~2026-07~50,1,1,1,0,0,0,1,0 $direct~2026-08~29,0,0,0,0,0,0,0,0 m.facebook.com~2026-07~11,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~12,3,1,0,0,0,0,0,0 m.facebook.com~2026-08~18,6,5,1,0,0,0,1,0 m.facebook.com~2026-06~8,3,2,0,0,0,0,0,0 fortunejack.com~2026-09~74,11,8,5,4,0,0,2,1 $direct~2026-05~36,2,0,0,0,0,0,0,0 instagram.com~2026-08~11,2,1,1,0,0,0,1,0 com.google.android.gm~2026-08~4,1,1,1,0,0,0,0,0 www.protipster.es~2026-09~34,26,0,0,0,0,0,0,0 com.google.android.gm~2026-07~14,0,0,0,0,0,0,0,0 $direct~2026-06~27,2,0,0,0,0,0,0,0 fortunejack.com~2026-06~39,6,5,3,0,0,0,0,0 instagram.com~2026-06~29,12,9,1,0,0,0,0,0 www.google.com~2026-08~5,0,0,0,0,0,0,0,0 instagram.com~2026-07~13,4,4,2,0,0,0,0,0 com.google.android.gm~2026-09~3,1,0,0,0,0,0,0,0 $direct~2026-09~24,2,1,0,0,0,0,0,0
Sri Lanka|fortunejack.com~2026-09~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~3,1,0,0,0,0,0,0,0
Suriname|l.facebook.com~2026-08~4,1,0,0,0,0,0,0,0
Sweden|l.facebook.com~2026-05~12,0,0,0,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-06~16,1,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-08~3,0,0,0,0,0,0,0,0 $direct~2026-08~11,1,1,1,0,0,0,0,0 com.google.android.gm~2026-06~4,2,0,0,0,0,0,0,0 l.facebook.com~2026-08~39,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~32,10,4,2,1,1,1,0,0 beacons.ai~2026-09~5,4,2,2,1,1,1,0,0 fortunejack.com~2026-07~85,10,5,3,0,1,0,1,0 www.google.com~2026-06~6,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~13,2,0,0,0,0,0,0,0 fortunejack.com~2026-08~92,11,6,4,2,2,1,1,0 $direct~2026-05~7,1,0,0,0,0,0,0,0 $direct~2026-07~25,3,1,0,0,0,0,0,0 $direct~2026-09~11,2,2,1,1,0,0,1,1 l.facebook.com~2026-07~107,1,1,1,0,0,0,0,0 instagram.com~2026-06~3,1,0,0,0,0,0,0,0 m.facebook.com~2026-07~9,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~5,3,2,1,0,0,0,1,0 fortunejack.com~2026-06~26,3,2,1,0,0,0,0,0 www.google.com~2026-08~5,0,0,0,0,0,0,0,0 m.facebook.com~2026-05~8,0,0,0,0,0,0,0,0 instagram.com~2026-08~5,0,0,0,0,0,0,0,0 www.facebook.com~2026-05~4,1,0,0,0,0,0,0,0 instagram.com~2026-07~6,0,0,0,0,0,0,0,0 www.google.com~2026-07~5,0,0,0,0,0,0,0,0
Switzerland|fortunejack.com~2026-09~16,1,0,0,0,0,0,0,0 $direct~2026-06~7,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~20,2,1,1,0,0,0,1,0 fortunejack.com~2026-05~11,2,0,0,0,0,0,0,0 $direct~2026-05~7,1,0,0,0,0,0,0,0 $direct~2026-09~5,0,0,0,0,0,0,0,0 $direct~2026-07~12,2,0,0,0,0,0,0,0 fortunejack.com~2026-07~22,2,1,1,0,0,0,0,0 $direct~2026-08~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~7831,297,2,1,0,0,0,0,0
Syria|fortunejack.com~2026-08~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~6,4,0,0,0,0,0,0,0 $direct~2026-07~4,2,0,0,0,0,0,0,0
Taiwan|fortunejack.com~2026-07~6,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~38,1,0,0,0,0,0,0,0
Tanzania|$direct~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0
Thailand|fortunejack.com~2026-09~4,0,0,0,0,0,0,0,0 $direct~2026-07~5,0,0,0,0,0,0,0,0 $direct~2026-09~5,0,0,0,0,0,0,0,0 www.google.com~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~3,2,1,0,0,0,0,0,0 fortunejack.com~2026-07~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 $direct~2026-06~3,1,1,0,0,0,0,0,0 $direct~2026-08~4,0,0,0,0,0,0,0,0 t.co~2026-06~3,2,1,1,0,0,0,0,0 m.facebook.com~2026-07~4,1,0,0,0,0,0,0,0
The Netherlands|com.google.android.gm~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-08~12,1,1,1,0,0,0,0,0 $direct~2026-07~15,2,1,0,0,0,0,0,0 $direct~2026-06~26,2,1,0,0,0,0,0,0 instagram.com~2026-08~3,1,0,0,0,0,0,0,0 www.google.com~2026-08~4,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~13,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~219,16,6,4,0,1,0,1,0 fortunejack.com~2026-07~61,8,3,0,0,0,0,0,0 m.facebook.com~2026-06~4,1,1,0,0,0,0,0,0 fortunejack.com~2026-06~32,8,5,3,1,1,1,1,0 www.google.com~2026-07~6,0,0,0,0,0,0,0,0 znaki.fm~2026-06~3,3,2,1,0,0,0,0,0 m.facebook.com~2026-07~5,1,1,1,0,0,0,1,0 m.facebook.com~2026-08~5,2,2,2,0,0,0,1,0 $direct~2026-09~14,0,0,0,0,0,0,0,0 l.facebook.com~2026-08~15,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~49,12,6,4,2,1,1,0,0 www.google.com~2026-06~9,1,1,0,0,0,0,0,0
Timor-Leste|fortunejack.com~2026-07~3,1,0,0,0,0,0,0,0
Trinidad and Tobago|fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0
Tunisia|$direct~2026-07~18,1,1,1,0,0,0,0,0 fortunejack.com~2026-07~12,2,1,1,0,0,0,0,0 www.google.com~2026-09~7,0,0,0,0,0,0,0,0 $direct~2026-09~19,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~10,0,0,0,0,0,0,0,0 $direct~2026-06~17,0,0,0,0,0,0,0,0 $direct~2026-05~19,0,0,0,0,0,0,0,0 www.google.com~2026-07~6,0,0,0,0,0,0,0,0 www.google.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-08~17,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~11,0,0,0,0,0,0,0,0 www.google.com~2026-05~4,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~6,0,0,0,0,0,0,0,0 www.google.com~2026-06~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~8,0,0,0,0,0,0,0,0
Türkiye|$direct~2026-07~10,0,0,0,0,0,0,0,0 $direct~2026-05~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~46,10,7,5,1,0,0,1,1 $direct~2026-06~17,2,2,2,0,0,0,0,0 fortunejack.com~2026-06~5,0,0,0,0,0,0,0,0 www.25bahisno1.com~2026-07~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~43,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~12,2,2,0,0,0,0,0,0 instagram.com~2026-08~9,4,3,2,0,0,0,1,0 25bahisno1.com~2026-07~7,1,1,1,0,0,0,0,0 m.facebook.com~2026-08~4,1,0,0,0,0,0,0,0 fortunejack.com~2026-05~4,0,0,0,0,0,0,0,0 www.google.com~2026-06~5,1,0,0,0,0,0,0,0 $direct~2026-08~9,0,0,0,0,0,0,0,0 l.facebook.com~2026-08~47,0,0,0,0,0,0,0,0 $direct~2026-09~7,0,0,0,0,0,0,0,0
Uganda|$direct~2026-05~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~3,2,0,0,0,0,0,0,0
Ukraine|fortunejack.com~2026-07~19,3,2,1,1,0,0,1,1 fortunejack.com~2026-09~43,31,29,1,0,0,0,0,0 fortunejack.com~2026-08~14,1,0,0,0,0,0,0,0 $direct~2026-05~11,1,0,0,0,0,0,0,0 $direct~2026-09~10,0,0,0,0,0,0,0,0 $direct~2026-07~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0 $direct~2026-06~5,0,0,0,0,0,0,0,0 $direct~2026-08~5,0,0,0,0,0,0,0,0 www.google.com~2026-06~3,0,0,0,0,0,0,0,0
United Arab Emirates|fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0 $direct~2026-07~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~78,2,0,0,0,0,0,0,0 fortunejack.com~2026-09~10,0,0,0,0,0,0,0,0
United Kingdom|casino.zone~2026-05~8,4,0,0,0,0,0,0,0 $direct~2026-08~18,1,0,0,0,0,0,0,0 www.777casino.co.uk~2026-06~6,2,1,0,0,0,0,0,0 com.google.android.gm~2026-05~6,0,0,0,0,0,0,0,0 www.google.com~2026-06~7,1,1,0,0,0,0,0,0 com.google.android.gm~2026-06~15,0,0,0,0,0,0,0,0 www.google.com~2026-05~17,1,0,0,0,0,0,0,0 www.google.com~2026-07~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~27,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~18,1,1,1,1,1,1,0,0 fortunejack.com~2026-09~8,0,0,0,0,0,0,0,0 $direct~2026-06~294,42,3,2,1,0,0,1,1 $direct~2026-05~875,3,0,0,0,0,0,0,0 www.google.com~2026-08~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~90,7,6,4,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0 casino.zone~2026-06~3,0,0,0,0,0,0,0,0 links.ccn.com~2026-06~7,0,0,0,0,0,0,0,0 www.777casino.co.uk~2026-05~6,1,0,0,0,0,0,0,0 $direct~2026-07~19,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~42,0,0,0,0,0,0,0,0 $direct~2026-09~10,0,0,0,0,0,0,0,0
United States|$direct~2026-07~234,11,3,2,0,0,0,2,0 keitaro.fortunejack.com~2026-06~8,4,2,0,0,0,0,0,0 chipy.com~2026-06~10,4,3,1,0,0,0,0,0 www.allfreechips.com~2026-09~9,9,6,2,0,0,0,0,0 m.facebook.com~2026-06~26,8,6,3,0,0,0,1,0 www.google.com~2026-06~85,8,7,2,0,0,0,0,0 l.facebook.com~2026-05~444,8,0,0,0,0,0,0,0 com.google.android.gm~2026-06~43,2,1,1,0,0,0,0,0 fortunejack.com~2026-05~124,10,0,0,0,0,0,0,0 www.google.com~2026-07~49,1,0,0,0,0,0,0,0 m.facebook.com~2026-08~42,12,6,2,0,0,0,1,0 tracker-pm2.fortunejackpartners.com~2026-07~12,3,0,0,0,0,0,0,0 $direct~2026-08~188,21,5,1,0,0,0,0,0 url8039.fortunejack.com~2026-09~5,1,1,0,0,0,0,0,0 t.co~2026-08~3,1,1,0,0,0,0,0,0 www.betonvalue.com~2026-06~7,3,3,2,0,0,0,0,0 casinolandia.com~2026-06~6,6,5,3,0,0,0,0,0 www.freeextrachips.com~2026-06~3,1,0,0,0,0,0,0,0 www.pornhub.com~2026-08~8,2,0,0,0,0,0,0,0 www.google.com~2026-05~257,11,0,0,0,0,0,0,0 fortunejack.com~2026-07~624,72,40,19,4,1,0,4,4 l.facebook.com~2026-07~122,6,3,0,0,0,0,0,0 $direct~2026-05~5180,36,0,0,0,0,0,0,0 t.co~2026-06~4,2,1,1,0,0,0,0,0 m.facebook.com~2026-07~86,26,18,7,0,0,0,1,0 www.google.com~2026-08~228,3,1,1,0,0,0,0,0 url8039.fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 t.co~2026-09~3,1,0,0,0,0,0,0,0 com.google.android.gm~2026-05~29,2,0,0,0,0,0,0,0 search.brave.com~2026-06~3,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-06~5,3,1,1,0,0,0,1,0 m.facebook.com~2026-05~51,10,0,0,0,0,0,0,0 chipy.com~2026-05~9,4,0,0,0,0,0,0,0 com.google.android.gm~2026-08~12,0,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-07~11,1,1,1,0,0,0,0,0 www.bing.com~2026-05~13,4,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-05~6,1,0,0,0,0,0,0,0 www.omegatipsters.com~2026-06~4,2,0,0,0,0,0,0,0 roulette77.us~2026-06~8,7,2,2,0,0,0,0,0 instagram.com~2026-07~7,1,1,1,0,0,0,0,0 www.bestbitcoincasino.com~2026-06~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~372,59,33,11,1,0,0,3,1 instagram.com~2026-05~7,1,0,0,0,0,0,0,0 www.slotscalendar.com~2026-06~3,1,1,0,0,0,0,0,0 url8039.fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 chipy.com~2026-07~4,1,1,1,0,0,0,0,0 l.facebook.com~2026-06~309,10,4,3,0,0,0,0,0 www.google.com~2026-09~39,2,2,1,0,0,0,0,0 $direct~2026-09~229,5,4,0,0,0,0,0,0 duckduckgo.com~2026-09~3,0,0,0,0,0,0,0,0 com.google.android.gm~2026-09~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~232,33,23,12,2,0,0,2,0 l.facebook.com~2026-08~22,4,1,0,0,0,0,0,0 coincodex.com~2026-07~3,0,0,0,0,0,0,0,0 instagram.com~2026-08~3,2,1,0,0,0,0,0,0 casino.zone~2026-06~3,1,1,1,0,0,0,0,0 keitaro.fortunejack.com~2026-08~7,2,2,1,0,0,0,0,0 links.ccn.com~2026-09~76,0,0,0,0,0,0,0,0 $direct~2026-06~245,15,6,3,0,0,0,0,0 instagram.com~2026-06~7,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~7901,257,31,14,1,2,0,2,0 com.google.android.gm~2026-07~32,1,0,0,0,0,0,0,0 www.facebook.com~2026-05~18,5,0,0,0,0,0,0,0 go1.trakit27.com~2026-08~20,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-07~10,4,1,0,0,0,0,0,0 chipy.com~2026-09~3,0,0,0,0,0,0,0,0
Uruguay|l.facebook.com~2026-07~10,0,0,0,0,0,0,0,0
Uzbekistan|$direct~2026-07~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~5,0,0,0,0,0,0,0,0
Venezuela|www.google.com~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~5,3,2,2,0,0,0,1,0 instagram.com~2026-07~12,5,4,3,0,0,0,0,0 m.facebook.com~2026-07~6,4,3,0,0,0,0,0,0 fortunejack.com~2026-05~5,0,0,0,0,0,0,0,0 t.co~2026-06~3,0,0,0,0,0,0,0,0
Vietnam|$direct~2026-07~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~10,0,0,0,0,0,0,0,0 $direct~2026-09~5,2,1,0,0,0,0,0,0 www.google.com~2026-06~3,1,0,0,0,0,0,0,0 $direct~2026-08~6,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,1,1,1,0,0,0,0,0 $direct~2026-05~11,2,0,0,0,0,0,0,0 $direct~2026-06~10,2,2,1,0,0,0,0,0 fortunejack.com~2026-09~10,2,0,0,0,0,0,0,0 fortunejack.com~2026-08~13,2,0,0,0,0,0,0,0
Zambia|$direct~2026-07~3,0,0,0,0,0,0,0,0
