country|packed
Czechia|fortunejack.com~2026-07~39,8,7,7,1,2,1,2,0 www.google.com~2026-05~4,1,0,0,0,0,0,0,0 fortunejack.com~2026-05~11,1,0,0,0,0,0,0,0 com.google.android.gm~2026-05~4,1,0,0,0,0,0,0,0 com.google.android.gm~2026-06~9,2,0,0,0,0,0,0,0 www.google.com~2026-06~3,3,2,2,0,0,0,0,0 $direct~2026-06~32,5,2,0,0,0,0,0,0 $direct~2026-07~28,1,1,0,0,0,0,0,0 $direct~2026-08~13,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~18,5,4,1,0,0,0,0,0 $direct~2026-05~13,0,0,0,0,0,0,0,0 com.google.android.gm~2026-07~4,0,0,0,0,0,0,0,0 $direct~2026-09~13,2,2,2,0,0,0,1,0 com.google.android.gm~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~27,5,3,3,1,1,0,1,0 fortunejack.com~2026-08~39,5,4,4,0,0,0,0,0
Denmark|beacons.ai~2026-07~5,0,0,0,0,0,0,0,0 spinhub.gg~2026-09~4,0,0,0,0,0,0,0,0 beacons.ai~2026-09~7,1,0,0,0,0,0,0,0 www.google.com~2026-06~5,0,0,0,0,0,0,0,0 l.facebook.com~2026-05~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~39,6,5,5,2,3,1,1,1 fortunejack.com~2026-06~21,5,2,1,0,0,0,1,0 www.google.com~2026-09~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~60,12,5,4,0,2,0,0,0 $direct~2026-08~23,1,1,0,0,0,0,0,0 $direct~2026-07~25,1,0,0,0,0,0,0,0 $direct~2026-05~23,0,0,0,0,0,0,0,0 spinhub.gg~2026-08~3,1,1,1,0,0,0,0,0 www.google.com~2026-08~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~8,1,0,0,0,0,0,0,0 beacons.ai~2026-06~7,4,1,1,1,1,1,0,0 www.google.com~2026-07~4,0,0,0,0,0,0,0,0 $direct~2026-06~32,5,0,0,0,0,0,0,0 l.facebook.com~2026-07~16,0,0,0,0,0,0,0,0 beacons.ai~2026-08~10,4,2,1,0,1,0,0,0 l.facebook.com~2026-08~4,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~42,6,3,2,1,2,0,1,0 $direct~2026-09~24,1,0,0,0,0,0,0,0 www.google.com~2026-05~6,2,0,0,0,0,0,0,0
Dominican Republic|fortunejack.com~2026-08~4,1,0,0,0,0,0,0,0
Ecuador|fortunejack.com~2026-08~5,2,2,0,0,0,0,0,0 $direct~2026-07~12,0,0,0,0,0,0,0,0 l.facebook.com~2026-06~13,3,3,2,0,0,0,0,0 m.facebook.com~2026-06~50,14,8,4,0,0,0,0,0 fortunejack.com~2026-06~16,5,4,3,0,0,0,0,0 m.facebook.com~2026-07~32,7,3,2,0,0,0,1,0 tracker-pm2.fortunejackpartners.com~2026-06~18,4,2,1,0,0,0,0,0 instagram.com~2026-08~3,0,0,0,0,0,0,0,0 $direct~2026-06~21,3,2,2,0,0,0,0,0 instagram.com~2026-05~6,1,0,0,0,0,0,0,0 instagram.com~2026-06~19,5,2,1,0,0,0,0,0 l.facebook.com~2026-07~501,2,1,0,0,0,0,0,0 m.facebook.com~2026-05~16,5,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~5,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~4,3,1,1,0,0,0,0,0 $direct~2026-05~14,2,0,0,0,0,0,0,0 l.facebook.com~2026-08~9,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~35,4,2,1,0,0,0,0,0 l.facebook.com~2026-05~4,1,0,0,0,0,0,0,0 com.google.android.gm~2026-06~4,0,0,0,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0
Egypt|m.facebook.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-08~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~7,0,0,0,0,0,0,0,0 www.google.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~18,8,4,0,0,0,0,0,0 $direct~2026-07~12,6,6,0,0,0,0,0,0 $direct~2026-09~4,0,0,0,0,0,0,0,0 $direct~2026-06~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~7,1,0,0,0,0,0,0,0
Estonia|fortunejack.com~2026-09~6,1,1,0,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~21,0,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~6,2,2,1,0,1,0,0,0 $direct~2026-09~4,0,0,0,0,0,0,0,0
Ethiopia|$direct~2026-08~6,2,2,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 www.google.com~2026-09~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~28,9,7,3,3,0,0,0,0 $direct~2026-06~7,2,0,0,0,0,0,0,0 fortunejack.com~2026-07~6,0,0,0,0,0,0,0,0 $direct~2026-05~7,0,0,0,0,0,0,0,0 $direct~2026-09~11,1,0,0,0,0,0,0,0 www.google.com~2026-05~10,1,0,0,0,0,0,0,0 $direct~2026-07~11,0,0,0,0,0,0,0,0 www.google.com~2026-08~3,0,0,0,0,0,0,0,0 www.google.com~2026-07~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~5,0,0,0,0,0,0,0,0
Finland|fortunejack.com~2026-05~11,0,0,0,0,0,0,0,0 $direct~2026-09~15,1,1,1,1,0,0,1,1 www.google.com~2026-07~9,0,0,0,0,0,0,0,0 $direct~2026-07~24,0,0,0,0,0,0,0,0 www.google.com~2026-09~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~65,10,5,4,1,1,0,0,0 $direct~2026-06~22,2,1,1,1,0,0,1,1 com.google.android.gm~2026-06~5,0,0,0,0,0,0,0,0 www.google.com~2026-06~11,2,2,1,1,0,0,1,1 m.facebook.com~2026-07~3,0,0,0,0,0,0,0,0 www.google.com~2026-08~6,1,1,0,0,0,0,0,0 l.facebook.com~2026-05~5,1,0,0,0,0,0,0,0 bonukset.net~2026-08~7,7,0,0,0,0,0,0,0 m.facebook.com~2026-08~3,1,1,1,0,0,0,1,0 instagram.com~2026-08~3,1,1,0,0,0,0,0,0 $direct~2026-08~19,3,1,0,0,0,0,0,0 fortunejack.com~2026-06~26,8,3,1,1,0,0,1,1 l.facebook.com~2026-08~9,0,0,0,0,0,0,0,0 $direct~2026-05~14,0,0,0,0,0,0,0,0 www.google.com~2026-05~4,1,0,0,0,0,0,0,0 bonukset.net~2026-09~9,8,0,0,0,0,0,0,0 fortunejack.com~2026-09~39,12,5,2,0,0,0,0,0 l.facebook.com~2026-07~55,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~93,8,3,0,0,0,0,0,0
France|fortunejack.com~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~75,0,0,0,0,0,0,0,0 $direct~2026-06~4,0,0,0,0,0,0,0,0 $direct~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~7,2,1,0,0,0,0,0,0
Georgia|$direct~2026-06~108,31,18,0,0,0,0,0,0 www.google.com~2026-07~6,2,1,1,0,1,0,0,0 localhost:5173~2026-07~4,1,0,0,0,0,0,0,0 $direct~2026-08~28,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~23,6,1,1,0,0,0,0,0 $direct~2026-09~99,42,33,20,0,0,0,15,0 localhost:5173~2026-06~12,8,8,1,0,1,0,1,0 fortunejack.com~2026-09~43,5,1,1,0,0,0,0,0 www.google.com~2026-06~25,3,2,1,0,0,0,0,0 www.google.com~2026-09~9,2,1,1,0,0,0,0,0 localhost:5173~2026-09~4,1,1,1,0,0,0,1,0 www.google.com~2026-08~7,2,0,0,0,0,0,0,0 $direct~2026-07~80,16,8,3,1,1,0,1,1 $direct~2026-05~88,14,0,0,0,0,0,0,0 fortunejack.com~2026-06~36,5,2,0,0,0,0,0,0 www.google.com~2026-05~21,3,0,0,0,0,0,0,0 fortunejack.com~2026-07~62,11,1,1,0,0,0,1,0 fortunejack.com~2026-05~26,2,0,0,0,0,0,0,0 l.facebook.com~2026-07~16,3,0,0,0,0,0,0,0 m.facebook.com~2026-07~4,0,0,0,0,0,0,0,0
