btag|packed
105815643_496643|07-02~1,1,0,0,0 06-21~1,0,0,0,0 08-28~2,2,0,0,0 06-03~3,3,1,1,0 06-04~2,2,0,0,0 06-27~1,0,0,0,0 07-13~1,0,0,0,0 06-22~1,1,0,0,0 2026-06M~2,2,0,0,0 06-05~1,1,0,0,0 07-17~1,1,1,0,0 07-03~1,1,0,0,0 06-02~2,2,0,0,0 07-07~2,0,0,0,0 06-12~1,1,1,0,0 06-17~1,0,0,0,0 07-31~1,1,0,0,0 07-05~1,1,0,0,0 06-30~1,1,0,0,0 08-20~1,1,0,0,0 06-26~1,0,0,0,0 all~38,26,6,3,2 06-06~2,2,2,2,2 08-30~1,0,0,0,0 08-17~2,1,0,0,0 06-18~1,0,0,0,0 08-25~2,2,1,0,0 07-26~1,0,0,0,0 2026-07M~1,1,0,0,0 06-01~1,1,0,0,0 08-26~1,1,0,0,0 06-08~2,0,0,0,0 07-21~2,2,0,0,0 2026-08~7,6,1,0,0 2026-07~13,8,1,0,0 07-22~1,1,0,0,0 07-08~1,0,0,0,0 06-10~3,2,0,0,0 06-16~2,0,0,0,0 2026-06~19,13,4,3,2
105833794_496803|2026-09M~1,0,0,0,0 06-03~1,0,0,0,0 06-19~1,0,0,0,0 06-23~1,0,0,0,0 06-16~1,0,0,0,0 2026-06M~3,2,0,0,0 06-24~1,0,0,0,0 08-28~1,0,0,0,0 2026-08~2,1,1,1,0 06-04~1,0,0,0,0 06-11~1,0,0,0,0 2026-07~1,0,0,0,0 07-07~1,0,0,0,0 06-18~1,0,0,0,0 06-08~1,0,0,0,0 07-10~1,0,0,0,0 06-26~1,0,0,0,0 08-18~1,0,0,0,0 08-05~1,0,0,0,0 2026-09~1,0,0,0,0 05-29~10,8,8,0,0 08-04~1,0,0,0,0 08-03~1,0,0,0,0 06-10~1,0,0,0,0 07-08~1,0,0,0,0 07-15~1,0,0,0,0 07-16~1,0,0,0,0 07-24~1,0,0,0,0 06-29~1,0,0,0,0 06-05~1,0,0,0,0 06-12~1,0,0,0,0 06-15~1,0,0,0,0 2026-06~3,2,0,0,0 06-09~1,0,0,0,0 2026-05~10,8,8,0,0 08-12~1,0,0,0,0 06-01~3,2,0,0,0 all~12,11,9,1,0 06-02~1,0,0,0,0 07-06~1,0,0,0,0 08-17~1,1,1,1,0 09-02~1,0,0,0,0 06-25~1,0,0,0,0
105834233_497110|06-07~1,1,0,0,0 2026-06M~29,8,6,5,3 06-02~28,7,5,5,3 06-04~2,0,0,0,0 06-05~3,2,1,1,1 06-01~1,1,1,0,0 2026-05~1,0,0,0,0 05-29~1,0,0,0,0 06-22~1,1,0,0,0 06-03~12,7,1,1,0 2026-06~39,16,8,7,4 06-10~1,0,0,0,0 all~39,16,8,7,4
105894784_497318|06-16~7,4,3,3,0 07-29~1,0,0,0,0 07-17~1,0,0,0,0 06-08~4,3,3,3,0 08-13~1,0,0,0,0 06-24~2,1,0,0,0 08-05~1,0,0,0,0 08-10~1,0,0,0,0 06-07~1,1,0,0,0 2026-08M~1,0,0,0,0 07-14~2,0,0,0,0 07-13~2,0,0,0,0 08-18~1,0,0,0,0 07-22~1,0,0,0,0 06-22~4,1,1,1,0 07-11~2,1,1,1,0 06-09~2,1,0,0,0 08-15~1,0,0,0,0 08-02~1,0,0,0,0 06-26~1,1,1,1,0 06-17~1,0,0,0,0 06-30~1,0,0,0,0 07-28~1,0,0,0,0 07-16~1,0,0,0,0 07-23~1,0,0,0,0 06-18~3,0,0,0,0 06-13~3,0,0,0,0 07-06~2,0,0,0,0 07-21~1,0,0,0,0 07-03~1,0,0,0,0 06-25~2,0,0,0,0 2026-06~34,25,22,21,4 07-09~1,0,0,0,0 06-11~6,3,3,2,1 07-05~1,0,0,0,0 08-16~1,0,0,0,0 06-20~2,0,0,0,0 08-08~1,0,0,0,0 07-20~1,0,0,0,0 06-27~1,0,0,0,0 06-19~2,0,0,0,0 07-01~1,0,0,0,0 08-12~1,0,0,0,0 06-12~9,6,5,5,1 08-04~2,0,0,0,0 08-06~1,0,0,0,0 07-07~1,0,0,0,0 07-18~1,0,0,0,0 08-07~1,0,0,0,0 all~39,28,25,23,4 06-21~2,1,1,1,0 08-14~1,0,0,0,0 06-14~3,1,1,1,0 06-15~4,1,1,1,0 2026-07M~1,0,0,0,0 06-23~2,1,1,1,0 07-15~1,0,0,0,0 07-30~1,0,0,0,0 2026-08~3,1,1,1,0 07-27~1,0,0,0,0 07-26~2,1,1,0,0 08-26~1,1,1,1,0 08-03~1,0,0,0,0 2026-07~7,2,2,1,0 07-25~1,0,0,0,0 07-31~2,0,0,0,0 08-19~1,0,0,0,0 07-08~1,0,0,0,0 06-10~2,2,2,2,1 08-01~1,0,0,0,0 07-19~1,0,0,0,0 08-17~1,0,0,0,0 06-05~1,1,0,0,0 07-04~1,0,0,0,0
105896019_497277|all~23,23,23,22,22 06-02~1,1,1,0,0 06-10~1,0,0,0,0 06-05~3,3,3,3,3 06-07~9,9,8,8,8 2026-06~23,23,23,22,22 2026-07~1,1,0,0,0 06-06~1,0,0,0,0 06-04~8,8,7,7,7 2026-06M~1,1,1,0,0 06-03~4,4,4,4,4 07-15~1,1,0,0,0
105928799_498162|08-14~1,0,0,0,0 2026-08~1,0,0,0,0 07-01~1,0,0,0,0 07-25~1,1,1,1,0 07-14~1,1,1,1,0 2026-06~4,3,2,0,0 all~9,6,4,2,1 2026-07~4,3,2,2,1 06-09~1,1,1,0,0 2026-07M~1,0,0,0,0 06-11~2,2,1,0,0 07-16~2,1,0,0,0 06-28~1,0,0,0,0
105928799_498163|all~23,13,4,3,1 07-03~2,1,0,0,0 08-13~1,1,0,0,0 08-11~1,0,0,0,0 07-23~1,0,0,0,0 07-05~1,0,0,0,0 07-06~2,1,0,0,0 08-24~1,1,1,0,0 07-02~3,2,0,0,0 07-01~1,1,1,1,0 08-19~1,0,0,0,0 07-28~1,0,0,0,0 2026-08~3,2,1,0,0 07-22~2,2,1,1,0 06-09~1,1,1,0,0 06-29~1,0,0,0,0 07-31~1,1,0,0,0 09-02~1,0,0,0,0 08-14~1,1,0,0,0 06-26~2,0,0,0,0 2026-06~11,5,1,0,0 07-09~1,0,0,0,0 06-27~1,0,0,0,0 07-29~1,0,0,0,0 08-26~1,0,0,0,0 2026-07M~3,3,1,1,0 2026-09M~1,0,0,0,0 07-08~3,2,1,0,0 08-20~1,1,0,0,0 07-20~1,1,0,0,0 08-07~1,1,0,0,0 07-04~1,0,0,0,0 06-25~6,4,0,0,0 07-07~3,2,0,0,0 06-28~1,0,0,0,0 2026-07~11,8,3,3,1 2026-09~1,0,0,0,0
105928990_497460|06-09~4,2,2,1,0 08-07~1,1,1,0,0 2026-08~3,2,1,0,0 06-30~1,1,0,0,0 06-11~1,0,0,0,0 06-29~1,1,0,0,0 06-23~1,1,0,0,0 06-07~1,0,0,0,0 2026-07~2,2,0,0,0 07-20~1,1,0,0,0 06-16~1,1,0,0,0 all~24,22,14,8,3 06-03~2,2,2,0,0 08-17~2,1,0,0,0 2026-06~24,22,13,7,3 06-10~5,2,0,0,0 06-04~9,9,5,2,1 07-22~1,1,0,0,0 2026-05~1,0,0,0,0 06-08~10,6,3,1,0 06-05~6,3,2,0,0 05-07~1,0,0,0,0 06-06~2,0,0,0,0
105931793_497478|06-26~1,0,0,0,0 08-10~1,0,0,0,0 05-15~1,0,0,0,0 08-24~1,0,0,0,0 06-16~1,0,0,0,0 08-14~1,0,0,0,0 07-13~1,1,0,0,0 2026-07~2,2,1,1,0 06-22~1,0,0,0,0 08-06~1,0,0,0,0 06-02~1,0,0,0,0 07-29~1,0,0,0,0 06-23~1,0,0,0,0 08-18~2,0,0,0,0 2026-05~2,1,1,1,1 05-19~1,1,1,1,1 05-22~2,0,0,0,0 06-29~1,0,0,0,0 07-31~1,0,0,0,0 05-28~2,0,0,0,0 08-17~2,0,0,0,0 06-24~1,1,1,0,0 07-15~1,0,0,0,0 06-12~1,0,0,0,0 07-10~1,1,1,1,0 06-08~1,0,0,0,0 05-27~1,0,0,0,0 05-06~1,0,0,0,0 05-03~1,1,0,0,0 05-26~1,0,0,0,0 07-02~1,0,0,0,0 06-30~2,0,0,0,0 07-28~1,1,1,0,0 06-19~1,0,0,0,0 07-01~1,1,0,0,0 all~5,5,3,1,1 08-01~1,0,0,0,0 08-04~1,0,0,0,0 06-17~1,0,0,0,0 06-13~1,0,0,0,0 07-08~1,0,0,0,0 06-10~1,0,0,0,0 08-26~1,0,0,0,0 08-03~1,1,1,1,0 08-13~1,1,1,1,0 05-01~1,1,0,0,0 2026-08~2,1,1,1,0 07-17~2,0,0,0,0 05-30~1,0,0,0,0 05-25~1,0,0,0,0 06-03~4,3,2,0,0 05-13~1,0,0,0,0 07-06~2,0,0,0,0 05-05~1,0,0,0,0 08-07~2,1,1,0,0 2026-08M~1,0,0,0,0 05-08~1,0,0,0,0 07-24~1,0,0,0,0 05-11~1,0,0,0,0 2026-07M~1,1,0,0,0 05-29~1,0,0,0,0 06-05~1,0,0,0,0 07-20~1,0,0,0,0 07-16~1,0,0,0,0 07-07~1,0,0,0,0 05-21~1,0,0,0,0 06-18~1,0,0,0,0 08-25~1,0,0,0,0 08-11~2,0,0,0,0 2026-06~5,5,3,1,0 06-04~2,1,0,0,0 05-04~1,0,0,0,0 2026-09~1,1,1,1,0 08-12~1,0,0,0,0 07-22~1,1,1,0,0 07-27~1,0,0,0,0 06-09~2,1,1,0,0 09-02~1,1,1,0,0 07-30~1,0,0,0,0 2026-05M~1,1,0,0,0 05-20~1,0,0,0,0 07-09~1,0,0,0,0 06-11~2,0,0,0,0 09-01~1,0,0,0,0 08-19~1,1,1,1,0 08-05~2,0,0,0,0 2026-06M~2,0,0,0,0 07-23~1,0,0,0,0 08-20~1,0,0,0,0 07-14~1,0,0,0,0 06-01~2,0,0,0,0 05-14~2,0,0,0,0 2026-09M~1,1,1,1,0
105931793_500846|2026-08~7,7,4,2,0 07-05~3,1,0,0,0 07-06~3,1,0,0,0 07-18~2,0,0,0,0 07-31~1,1,0,0,0 07-11~2,0,0,0,0 2026-05~2,0,0,0,0 06-09~1,0,0,0,0 07-21~1,0,0,0,0 07-22~1,0,0,0,0 06-28~1,0,0,0,0 07-30~2,1,0,0,0 08-13~2,1,1,0,0 08-31~1,0,0,0,0 06-22~1,0,0,0,0 06-24~1,0,0,0,0 08-09~1,0,0,0,0 06-06~1,0,0,0,0 2026-09M~2,0,0,0,0 06-19~1,0,0,0,0 07-01~8,7,1,0,0 07-27~1,0,0,0,0 08-27~1,1,0,0,0 06-03~1,0,0,0,0 06-25~1,0,0,0,0 2026-06~7,3,3,1,1 08-06~1,0,0,0,0 08-21~1,0,0,0,0 08-17~1,0,0,0,0 06-21~1,0,0,0,0 06-26~1,0,0,0,0 07-09~2,0,0,0,0 06-11~2,0,0,0,0 07-20~1,0,0,0,0 07-23~1,1,0,0,0 08-14~1,0,0,0,0 06-12~1,0,0,0,0 08-01~2,1,0,0,0 08-07~1,0,0,0,0 all~25,24,9,5,1 07-04~3,2,1,0,0 06-18~2,0,0,0,0 2026-08M~2,1,0,0,0 07-03~2,0,0,0,0 08-08~3,1,1,0,0 07-13~1,1,0,0,0 08-18~1,0,0,0,0 05-30~1,0,0,0,0 06-04~1,0,0,0,0 2026-07M~9,7,1,0,0 07-15~1,0,0,0,0 07-10~2,1,0,0,0 06-08~1,0,0,0,0 08-23~1,0,0,0,0 06-15~1,0,0,0,0 07-07~1,0,0,0,0 06-20~1,0,0,0,0 07-16~1,0,0,0,0 06-16~3,1,1,0,0 06-05~1,0,0,0,0 2026-09~2,0,0,0,0 06-14~1,0,0,0,0 06-13~1,0,0,0,0 08-04~1,0,0,0,0 08-30~1,0,0,0,0 08-24~1,0,0,0,0 09-02~1,0,0,0,0 08-20~1,0,0,0,0 08-15~1,1,1,0,0 08-05~1,1,1,1,0 07-08~1,0,0,0,0 06-10~1,0,0,0,0 09-01~2,0,0,0,0 08-19~2,1,0,0,0 07-29~1,1,0,0,0 05-28~1,0,0,0,0 06-02~1,1,1,1,0 06-23~3,0,0,0,0 2026-06M~1,1,1,1,0 08-22~1,0,0,0,0 07-02~3,1,0,0,0 08-12~1,0,0,0,0 06-30~2,1,1,0,0 07-28~3,1,0,0,0 08-16~1,0,0,0,0 06-07~1,0,0,0,0 07-25~1,0,0,0,0 07-12~1,0,0,0,0 2026-07~20,17,2,0,0 08-26~1,0,0,0,0
105932402_497515|06-06~1,1,1,1,1 all~19,19,19,18,18 06-08~11,11,11,11,11 06-07~6,6,6,6,6 06-04~1,1,1,0,0 06-09~1,0,0,0,0 2026-06~19,19,19,18,18
105947394_497546|06-16~3,1,0,0,0 06-28~2,0,0,0,0 2026-09M~2,1,1,1,0 08-17~2,1,0,0,0 08-28~1,0,0,0,0 06-21~2,1,1,1,0 06-20~5,2,2,2,0 06-09~2,0,0,0,0 06-08~1,0,0,0,0 06-05~1,0,0,0,0 07-19~1,0,0,0,0 2026-08M~1,0,0,0,0 06-10~4,0,0,0,0 06-24~1,0,0,0,0 06-30~2,0,0,0,0 06-17~4,3,2,2,0 06-29~1,1,1,1,0 2026-07~4,0,0,0,0 07-03~1,0,0,0,0 2026-09~2,1,1,1,0 06-07~2,0,0,0,0 2026-06~46,14,11,11,0 08-14~1,0,0,0,0 09-01~1,1,1,1,0 08-18~4,1,1,1,0 06-27~1,0,0,0,0 2026-08~12,3,1,1,0 06-15~5,2,1,1,0 06-04~1,0,0,0,0 07-17~1,0,0,0,0 06-18~1,0,0,0,0 06-19~2,1,1,1,0 all~63,18,13,13,0 06-23~1,0,0,0,0 08-01~1,0,0,0,0 08-24~2,0,0,0,0 06-12~3,1,1,1,0 08-27~1,1,0,0,0 06-14~3,0,0,0,0 09-02~1,0,0,0,0 06-26~1,0,0,0,0 08-30~1,0,0,0,0 06-11~1,0,0,0,0 07-09~1,0,0,0,0 06-13~2,1,1,1,0 06-22~1,1,1,1,0
105947394_497550|06-20~2,1,1,1,0 06-15~1,0,0,0,0 06-04~1,1,1,0,0 06-12~1,1,1,1,0 08-17~1,1,0,0,0 2026-08~1,1,0,0,0 06-17~3,1,0,0,0 06-16~2,0,0,0,0 2026-06~11,4,3,2,0 all~11,5,3,2,0 06-05~1,0,0,0,0
105947394_497552|06-04~1,1,1,0,0 06-23~12,6,5,2,0 07-02~3,1,0,0,0 07-01~1,0,0,0,0 06-19~9,4,3,2,0 06-22~16,5,4,2,0 2026-06~201,76,65,30,0 06-25~11,5,4,3,0 06-09~1,0,0,0,0 07-11~1,1,1,0,0 06-20~11,5,4,3,0 07-07~1,0,0,0,0 2026-07~7,3,1,0,0 07-03~2,1,0,0,0 06-18~8,1,1,0,0 all~201,79,68,31,0 06-28~12,2,2,0,0 06-27~8,4,4,0,0 06-14~11,5,4,2,0 06-10~2,1,1,0,0 06-26~6,2,2,1,0 06-11~9,3,3,1,0 08-21~1,1,1,0,0 2026-08M~1,0,0,0,0 06-12~14,5,3,2,0 06-17~12,6,5,3,0 2026-08~3,1,1,0,0 06-21~13,5,4,1,0 07-18~1,0,0,0,0 08-01~1,0,0,0,0 06-16~9,4,3,1,0 06-15~14,5,4,1,0 08-06~1,0,0,0,0 07-05~1,0,0,0,0 06-13~19,4,4,2,0 06-24~9,2,2,1,0 07-06~1,0,0,0,0 06-29~8,2,2,1,0 2026-07M~4,1,0,0,0
105947394_499111|06-23~1,1,0,0,0 06-29~2,2,1,0,0 07-12~1,1,0,0,0 2026-08~1,0,0,0,0 07-11~2,2,1,0,0 07-19~1,0,0,0,0 2026-08M~1,0,0,0,0 07-03~1,1,1,0,0 all~13,13,5,2,0 08-02~1,0,0,0,0 2026-06~4,4,1,0,0 07-09~1,1,0,0,0 07-07~1,1,1,1,0 08-19~1,0,0,0,0 07-02~1,1,0,0,0 07-18~2,2,1,1,0 2026-07~10,9,4,2,0 06-24~1,1,0,0,0 2026-07M~1,1,0,0,0
105965840_499027|all~6,6,4,3,1 2026-06~6,6,4,3,1 05-27~1,0,0,0,0 06-23~1,1,1,1,1 06-16~4,4,3,2,0 06-17~1,1,0,0,0 2026-05~1,0,0,0,0
106038685_498220|08-03~2,0,0,0,0 07-29~1,0,0,0,0 2026-07M~1,1,0,0,0 2026-05~3,0,0,0,0 2026-08~3,2,1,0,0 08-31~1,0,0,0,0 07-02~1,1,0,0,0 07-08~1,1,1,0,0 06-10~3,2,2,0,0 05-17~1,0,0,0,0 06-22~1,0,0,0,0 05-19~1,0,0,0,0 all~23,20,17,13,5 05-12~1,0,0,0,0 06-17~2,0,0,0,0 2026-06~23,20,17,12,4 07-06~1,1,0,0,0 2026-07~6,4,2,0,0 08-06~1,1,0,0,0 05-28~1,0,0,0,0 08-08~1,1,1,0,0 07-21~1,0,0,0,0 07-10~1,1,0,0,0 06-08~1,1,1,1,0 06-26~1,0,0,0,0 06-20~2,1,1,0,0 08-07~1,0,0,0,0 05-04~1,0,0,0,0 07-09~1,0,0,0,0 06-11~13,11,9,7,1 06-13~3,2,2,0,0 06-12~9,6,4,4,1 06-19~3,0,0,0,0 07-16~1,0,0,0,0 06-09~3,0,0,0,0 06-16~1,1,1,0,0 06-23~2,0,0,0,0 06-18~3,0,0,0,0 07-13~1,1,0,0,0 05-29~1,0,0,0,0 07-17~1,0,0,0,0 07-14~3,2,1,0,0 06-14~1,0,0,0,0 07-30~1,1,0,0,0
106054549_499145|07-23~1,1,0,0,0 07-04~1,0,0,0,0 07-18~3,2,1,1,0 08-09~2,2,1,1,0 08-17~6,3,1,0,0 08-15~16,11,5,4,0 06-22~1,0,0,0,0 06-25~1,1,0,0,0 2026-08~112,102,38,17,2 07-11~3,2,2,1,0 2026-06~11,4,2,1,0 09-01~2,1,1,1,0 08-19~2,0,0,0,0 08-28~16,14,5,2,1 2026-07~27,26,12,8,0 09-02~1,0,0,0,0 06-26~1,0,0,0,0 08-27~18,17,4,2,0 08-06~3,3,1,0,0 07-17~2,2,1,0,0 2026-07M~2,1,0,0,0 2026-09~3,1,1,1,0 07-13~2,1,1,0,0 08-03~4,4,2,0,0 08-26~2,1,0,0,0 07-02~1,1,0,0,0 07-22~3,3,1,1,0 07-05~1,1,0,0,0 06-23~3,0,0,0,0 06-16~2,1,1,0,0 2026-08M~2,1,1,0,0 07-10~1,1,1,0,0 06-30~3,1,0,0,0 06-11~3,0,0,0,0 08-01~1,1,0,0,0 08-30~6,6,2,2,0 08-13~3,1,1,1,0 06-15~2,0,0,0,0 05-28~1,0,0,0,0 2026-09M~3,1,1,1,0 08-18~4,3,2,0,0 08-05~1,1,1,0,0 08-08~1,1,0,0,0 07-27~1,1,0,0,0 08-12~1,1,0,0,0 08-11~1,0,0,0,0 08-29~7,5,2,1,0 08-21~1,1,0,0,0 07-14~2,0,0,0,0 07-21~1,1,1,1,0 07-20~1,1,0,0,0 07-07~7,5,2,1,0 07-16~1,1,0,0,0 2026-05~1,0,0,0,0 08-31~2,1,0,0,0 08-02~2,1,1,0,0 08-23~3,1,0,0,0 06-29~2,1,1,1,0 07-31~2,2,1,0,0 06-01~1,0,0,0,0 07-19~1,0,0,0,0 2026-06M~1,0,0,0,0 all~134,125,53,29,2 07-25~1,1,1,1,0 08-10~4,4,1,0,0 08-14~21,18,8,2,1 08-16~7,4,0,0,0 08-24~2,1,1,0,0 06-19~1,0,0,0,0 07-01~1,0,0,0,0 07-30~1,1,0,0,0 07-29~1,0,0,0,0
106057565_498539|08-03~1,1,0,0,0 2026-08~1,1,0,0,0 06-29~1,1,0,0,0 06-20~2,2,1,1,0 06-11~7,6,4,2,0 06-15~3,2,2,1,0 06-18~1,1,0,0,0 06-17~4,3,2,1,0 2026-06~36,35,16,7,0 06-21~2,1,1,1,0 all~36,35,16,7,0 06-14~4,4,0,0,0 06-19~1,1,1,1,0 06-27~1,1,0,0,0 06-12~8,8,3,0,0 06-13~2,2,1,0,0 06-25~2,2,0,0,0 06-16~4,4,1,0,0
106057702_498454|2026-07~1,1,0,0,0 06-14~1,1,1,0,0 06-15~5,3,2,1,0 07-27~1,1,0,0,0 2026-06~9,7,4,2,0 all~10,8,4,2,0 06-10~3,3,1,0,0
106094650_498811|05-13~1,0,0,0,0 08-08~2,1,1,0,0 08-14~1,0,0,0,0 2026-05~6,2,1,1,1 07-05~1,1,1,0,0 07-19~4,0,0,0,0 07-11~2,0,0,0,0 08-12~1,0,0,0,0 07-15~2,0,0,0,0 07-16~2,0,0,0,0 06-29~4,0,0,0,0 07-31~1,0,0,0,0 05-19~1,0,0,0,0 all~105,95,83,74,52 08-17~1,0,0,0,0 06-21~19,5,2,2,2 07-13~2,0,0,0,0 08-16~1,0,0,0,0 06-12~2,1,0,0,0 08-03~2,0,0,0,0 06-14~27,11,7,6,2 08-30~1,0,0,0,0 07-23~2,0,0,0,0 06-17~28,7,3,2,0 08-09~1,0,0,0,0 08-02~1,0,0,0,0 08-21~1,0,0,0,0 05-03~1,0,0,0,0 08-22~2,0,0,0,0 05-07~1,0,0,0,0 05-14~1,1,1,1,1 08-24~1,0,0,0,0 2026-07~24,13,9,1,0 06-18~18,4,1,1,1 2026-08M~1,0,0,0,0 08-05~1,1,1,0,0 06-15~24,9,5,3,0 09-01~1,0,0,0,0 08-19~1,0,0,0,0 06-24~5,0,0,0,0 07-29~1,0,0,0,0 05-12~1,0,0,0,0 07-12~1,0,0,0,0 05-17~1,0,0,0,0 07-14~7,3,2,0,0 08-13~1,0,0,0,0 07-09~1,1,1,0,0 07-04~1,0,0,0,0 08-20~1,0,0,0,0 2026-06~105,94,80,63,46 07-25~1,0,0,0,0 07-27~4,0,0,0,0 05-11~1,0,0,0,0 07-10~2,1,0,0,0 07-26~1,0,0,0,0 08-18~1,0,0,0,0 06-22~15,3,1,1,1 06-19~17,5,1,1,1 2026-09~1,0,0,0,0 07-01~3,1,0,0,0 05-10~1,1,0,0,0 07-08~4,3,2,0,0 06-28~2,0,0,0,0 07-30~5,0,0,0,0 09-02~1,0,0,0,0 07-02~6,2,1,0,0 08-11~1,1,1,0,0 06-13~53,48,47,35,8 08-06~1,0,0,0,0 08-07~2,0,0,0,0 06-25~3,0,0,0,0 2026-08~9,3,3,1,0 06-16~21,9,7,5,3 07-07~2,0,0,0,0 08-15~1,0,0,0,0 07-22~2,0,0,0,0 2026-07M~8,3,1,0,0 07-17~2,0,0,0,0 07-21~4,1,1,0,0 07-06~2,2,1,0,0 06-27~3,1,1,0,0 08-10~1,0,0,0,0 06-23~7,0,0,0,0 05-18~1,0,0,0,0 06-20~28,8,6,4,3 08-29~1,0,0,0,0 07-20~2,0,0,0,0 07-18~2,0,0,0,0 2026-09M~1,0,0,0,0 06-30~3,0,0,0,0 08-25~1,0,0,0,0 08-23~1,0,0,0,0
106162973_499187|2026-07~4,2,0,0,0 2026-05M~1,0,0,0,0 06-20~2,2,1,1,1 06-23~2,2,1,0,0 08-13~1,0,0,0,0 06-26~4,3,1,0,0 2026-06~25,24,11,2,1 07-19~1,1,0,0,0 06-16~3,2,2,0,0 all~25,25,11,2,1 08-07~1,0,0,0,0 2026-08~1,0,0,0,0 07-11~1,1,0,0,0 06-27~2,1,1,0,0 06-21~1,0,0,0,0 07-29~1,0,0,0,0 07-08~1,0,0,0,0 05-01~1,0,0,0,0 06-25~3,3,1,1,0 08-14~1,0,0,0,0 06-18~8,8,2,0,0 2026-07M~1,0,0,0,0 05-22~1,0,0,0,0 2026-05~1,0,0,0,0 07-02~1,0,0,0,0 06-17~1,0,0,0,0 06-22~3,2,1,0,0 06-14~1,0,0,0,0 06-29~3,3,1,0,0 07-31~1,0,0,0,0 08-15~1,0,0,0,0
106163691_499430|08-18~1,1,0,0,0 07-06~1,1,0,0,0 07-12~1,0,0,0,0 08-10~2,2,1,1,0 06-21~1,1,0,0,0 08-08~1,0,0,0,0 06-22~4,3,1,1,0 06-25~1,1,1,1,0 08-02~1,1,0,0,0 07-07~1,1,0,0,0 06-18~2,2,1,0,0 06-28~3,2,1,1,0 07-10~1,0,0,0,0 06-23~1,1,0,0,0 06-30~1,1,1,0,0 2026-06~16,14,6,4,0 06-17~2,2,1,0,0 07-08~2,2,0,0,0 08-16~1,1,0,0,0 07-19~1,1,0,0,0 2026-08~6,5,1,1,0 06-19~2,2,1,1,0 all~26,22,7,5,0 2026-07~7,5,0,0,0 2026-08M~1,1,0,0,0
106163691_507573|2026-08~1,1,1,0,0 2026-09M~6,6,2,2,0 2026-09~6,6,2,2,0 all~7,7,3,2,0 09-02~5,5,1,1,0 09-01~2,2,1,1,0 08-31~1,1,1,0,0
106168459_499364|07-31~4,0,0,0,0 08-12~1,0,0,0,0 07-20~34,17,13,10,9 07-23~7,0,0,0,0 07-14~33,20,15,11,10 07-13~36,24,16,10,9 2026-08M~5,1,0,0,0 08-28~2,0,0,0,0 07-07~3,3,1,0,0 07-15~37,22,16,10,9 07-19~42,22,14,10,9 07-12~42,38,31,19,13 06-23~1,0,0,0,0 07-24~4,0,0,0,0 07-17~31,20,13,11,10 08-02~3,1,0,0,0 06-26~1,0,0,0,0 06-19~49,31,11,5,4 07-18~36,21,15,11,9 08-23~1,0,0,0,0 08-11~1,0,0,0,0 07-05~2,2,2,0,0 07-06~1,0,0,0,0 08-31~1,0,0,0,0 08-24~3,1,0,0,0 08-22~1,0,0,0,0 07-21~35,19,12,10,8 07-25~2,0,0,0,0 07-26~3,1,0,0,0 07-16~36,27,13,8,8 08-13~2,0,0,0,0 06-21~1,0,0,0,0 07-30~3,0,0,0,0 2026-06~70,67,45,24,22 07-28~1,0,0,0,0 08-29~1,0,0,0,0 07-22~14,2,0,0,0 06-20~4,1,0,0,0 07-29~5,0,0,0,0 08-25~1,0,0,0,0 08-21~1,0,0,0,0 08-15~1,0,0,0,0 08-01~3,0,0,0,0 06-17~1,1,1,0,0 08-30~3,0,0,0,0 08-20~2,0,0,0,0 2026-07~216,206,156,123,111 07-08~1,0,0,0,0 07-27~5,3,2,2,0 2026-08~15,2,0,0,0 07-03~1,0,0,0,0 06-22~2,0,0,0,0 06-18~48,45,33,17,16 08-10~1,0,0,0,0 all~268,260,198,151,137
106201041_499646|06-17~1,0,0,0,0 06-18~1,1,1,1,0 06-25~1,0,0,0,0 all~10,9,8,6,5 06-24~3,0,0,0,0 08-13~2,1,1,0,0 06-30~1,1,0,0,0 07-04~1,0,0,0,0 07-02~1,1,1,0,0 06-29~1,0,0,0,0 2026-07~2,1,1,0,0 06-28~2,0,0,0,0 06-23~5,4,2,2,2 08-11~1,1,0,0,0 2026-07M~1,1,1,0,0 06-19~1,0,0,0,0 07-01~1,1,0,0,0 06-22~7,6,4,3,3 2026-06~9,9,7,6,5 2026-08~2,1,1,0,0
