btag|n|packed
839237_112672|10|jack-0858872~07-29~00~32 jack-4288915~05-20~00~1742 -~06-19~00~0 fortune-6588214~06-27~10~8772 fortune-4650772~05-16~10~70242 jack-4842889~06-14~00~2 fortune-0669175~07-11~10~37 fortune-7060965~05-24~00~43 fortune-4267897~06-29~10~67 jack-6341647~06-05~11~3219
839237_53194|12|-~07-26~00~10288 jack-5763963~08-26~00~2 jack-4552109~08-02~10~13 jack-6514486~08-01~00~3 jack-4542335~08-03~00~10364 -~07-04~00~7 jack-5558240~08-03~00~267 jack-4719283~07-15~00~3 -~07-25~00~1 -~07-30~00~1 jack-8725004~07-12~00~3089 jack-8423715~07-14~00~162191
846258_487930|4|-~06-09~00~1028 jack-8322209~05-25~10~19 fortune-6185563~06-09~00~3918 -~06-12~00~5521
846258_498158|7|fortune-5164303~07-03~00~92 jack-0539238~07-14~00~1 Molliz~08-03~10~5 jack-0026776~07-22~00~1 fortune-1176712~06-27~10~6714 jack-6167282~06-30~00~1 fortune-4071994~06-09~10~114605
848232_32979|272|jack-9188543~05-21~00~194 fortune-2003227~06-02~10~30066 jack-3618557~05-22~00~9 fortune-6525121~07-13~10~2 fortune-2735474~06-08~10~33512 jack-5995095~06-25~10~2 jack-9995359~06-18~10~11 fortune-4394692~08-07~00~2 jack-4516093~06-03~10~1 jack-5441321~06-02~10~1685 fortune-8042306~07-07~00~7 jack-0822184~05-28~00~11946 jack-8063950~06-18~10~4 fortune-2315534~06-03~00~3193 jack-5587254~06-06~10~10012 fortune-4043873~06-12~11~24 fortune-3241360~08-13~10~12 Celi18~05-19~10~63561 fortune-0934768~07-16~00~16 fortune-8775691~06-30~10~15 jack-3536628~06-15~10~4 jack-5750043~06-30~10~8300 fortune-0003434~05-24~10~8 jack-4263709~05-30~00~4 fortune-1743478~06-03~10~10 jack-3957991~05-14~00~20 -~07-06~00~1 Sinti02~07-03~10~5899 -~05-23~00~1 jack-1117991~08-13~00~10 Gugulethu77777~06-09~10~45346 -~06-19~00~1 Luckacucka4~05-21~00~26 -~08-02~00~1 jack-9688575~06-11~10~13 jack-4721692~07-02~10~5 fortune-3955397~07-13~00~2 jack-6833853~07-11~00~10 jack-8546264~05-18~10~18780 fortune-7127776~06-10~00~4 fortune-5695587~08-21~00~2 jack-4813262~06-30~10~7535 jack-9169765~06-09~00~84436 fortune-5077970~08-01~10~607 jack-2818780~06-15~10~23095 fortune-7961419~08-12~00~6 -~06-03~00~1 fortune-4675696~06-17~10~12 jack-5462753~06-20~10~6 jack-4103597~06-09~00~0 -~05-28~00~2 jack-0264934~06-26~00~15 jack-5483808~06-07~00~40699 jack-6876905~06-04~00~0 jack-9452691~07-26~00~6 fortune-5052234~05-26~10~12 fortune-2623543~07-11~00~3 jack-9774311~08-27~10~217 jack-1897758~08-17~10~74 -~07-07~00~63 jack-6350034~08-17~10~1743 jack-3757715~07-03~00~436 jack-1361662~07-04~00~9911 -~05-31~00~0 jack-2459008~05-28~00~20292 fortune-1605363~07-21~00~10 jack-4001986~05-26~00~12 jack-0849385~06-15~00~80911 Tarnz24~05-13~10~745 fortune-9935419~06-15~00~1106 jack-5267021~08-26~10~776 jack-8619631~06-22~00~52630 fortune-5817676~08-09~00~532 -~05-19~00~1 -~06-02~00~1 jack-9539922~06-05~00~55273 -~05-29~00~1 -~06-23~00~0 fortune-5465907~06-12~10~2 jack-1449460~06-24~00~15796 fortune-4691580~06-15~00~48596 fortune-5380314~06-02~10~1122 fortune-2204393~07-19~00~71 fortune-7783324~08-24~10~11 jack-5777629~06-13~10~1 jack-2052084~06-21~00~34 -~06-25~00~0 ashleeaden~05-27~00~9528 fortune-2053570~07-11~00~23099 fortune-5807050~07-22~10~9396 fortune-0775407~06-13~00~5 jack-7906244~05-29~10~20 jack-9044727~05-18~10~482 fortune-4015066~08-06~10~9873 jack-7582365~05-31~00~29915 -~07-04~00~2 jack-5267293~07-08~10~56109 jack-6903736~05-30~00~28104 -~06-11~00~1 jack-3077223~07-16~10~2 jack-5007752~06-29~00~7 jack-2559145~06-03~00~2 jack-1961235~07-26~10~19534 -~06-20~00~1 Tiborcz86~06-23~00~2 fortune-9256609~06-29~10~0 jack-8232855~08-10~00~5534 fortune-2168163~08-07~00~4 jack-0747780~06-02~10~230 jack-7836261~06-09~00~1568 fortune-5040509~06-21~00~6568 fortune-4290891~05-27~10~43122 fortune-8428796~07-08~00~12852 jack-8548535~06-03~10~5414 fortune-9661422~08-13~00~3 fortune-1182543~06-08~10~2 jack-5730013~06-07~10~4 -~07-13~00~524 fortune-8214798~07-19~10~13 jack-3986530~06-07~00~12 fortune-0936093~07-08~10~6 fortune-3966047~08-24~00~0 fortune-3606375~05-23~10~4 jack-6436480~06-24~00~2 jack-7719379~05-31~00~14 -~06-05~00~2 jack-4720750~07-22~00~2 fortune-0970371~07-30~00~0 jack-7628153~07-08~00~5 fortune-0215476~06-13~10~3 fortune-6148345~07-08~10~41105 jack-0744977~07-18~10~3 fortune-9748918~07-05~10~404 jack-0527857~06-15~10~5 fortune-1937452~08-18~10~1120 fortune-3547399~06-06~10~50232 -~05-24~00~1 fortune-6515497~07-31~00~6 Louwkie1988~06-17~00~2 fortune-0929805~06-25~10~19835 jack-9891222~07-17~10~7 fortune-9142392~08-09~10~4405 jack-2142786~06-11~10~6 jack-6167874~06-11~00~2 jack-8341853~05-16~10~4 Kadz07~06-10~10~22 jack-6725537~05-25~10~11 fortune-5181757~06-19~00~3 -~08-17~00~0 fortune-5642044~06-30~10~6858 jack-1450372~06-25~10~19742 jack-3132296~05-26~10~566 jack-5633318~08-06~00~4 jack-7336813~06-08~10~0 jack-9473825~08-13~10~13124 jack-8192606~07-20~10~3 fortune-8646503~08-02~10~4 jack-9070890~07-08~10~0 Njofra18~06-18~10~14 jack-9489555~06-17~10~7348 jack-1811296~05-22~10~9277 fortune-5343545~07-31~00~15 -~06-22~00~2 -~06-06~00~3 -~06-16~00~4 jack-1362619~05-20~00~30904 jack-0189963~06-20~10~7 jack-5335099~05-28~00~3 -~06-08~00~1 fortune-8640605~08-07~00~1 fortune-6159641~06-17~00~95 fortune-5772145~06-20~00~8509 jack-3680913~06-07~00~5 fortune-9149168~05-24~00~4 jack-2443319~06-30~10~453 -~05-28~00~0 fortune-7230348~06-10~10~16 -~06-23~00~0 fortune-6669962~06-14~10~3202 -~05-16~00~1 -~05-24~00~1 -~05-28~00~1852 Skyler147~08-05~10~66 -~07-08~00~1 jack-0348086~06-02~10~2 -~07-07~00~1 fortune-0514486~08-29~00~29 jack-9513496~06-16~00~8 fortune-8390020~05-18~10~1155 fortune-1824851~07-14~00~138 fortune-0661775~07-01~10~6833 -~06-06~00~0 jack-4740041~05-23~00~105 fortune-1098732~05-20~10~10 jack-2400029~08-21~10~3 fortune-9288102~07-30~10~2726 jack-2441492~07-12~00~81 -~06-14~00~1 fortune-5476096~07-23~00~7 jack-7019949~07-22~10~8 matanelio90~08-15~10~28 jack-2918302~06-09~10~26140 jack-7794076~07-07~00~1128 jack-1326587~06-06~10~16743 -~06-10~00~0 fortune-6075833~06-01~10~4 fortune-1142400~06-24~10~18143 -~07-29~00~1 fortune-5823025~06-21~10~18 jack-1734498~08-14~10~4 -~06-02~00~0 fortune-7474977~08-04~10~3 Helen1982~06-09~00~36 thijs0915~06-28~00~1 -~08-03~00~2 fortune-5014787~08-06~00~70 fortune-3931287~05-30~00~147 -~05-30~00~1 -~07-01~00~5 fortune-4519232~06-06~00~9 fortune-6502470~07-01~10~8314 jack-7422620~08-02~10~9 jack-8030389~08-06~10~1 jack-6965865~08-18~10~4167 fortune-8880350~05-14~00~5 jack-6022299~05-18~00~64491 QueenRoyal~05-27~10~37160 jack-5185939~05-28~10~1 GEEKS1119~05-30~00~1 jack-1465511~06-10~00~4 -~05-18~00~0 fortune-6665347~06-13~00~4 -~08-06~00~1 -~05-28~00~1 -~07-23~00~40 -~05-16~00~5 fortune-7694677~06-18~00~4660 fortune-5438709~06-05~10~43706 fortune-7932720~06-30~00~6 fortune-8928864~07-02~00~4 jack-4456598~08-06~00~2 -~06-08~00~0 fortune-4814522~06-24~00~4 jack-2279101~06-20~00~28 jack-0394537~08-10~10~7547 -~06-15~00~0 jack-2622634~06-03~00~90850 -~07-26~00~27918 fortune-6830259~06-25~00~1 fortune-2206130~06-05~00~2 fortune-1515271~05-23~00~27269 stephanieleec~06-01~10~84479 jack-0751519~06-20~10~22 -~06-16~00~0 jack-9582821~08-27~00~3 Geo666~05-31~00~44573 jack-0467291~06-08~00~2 fortune-4759354~06-02~10~8085 jack-9760365~07-02~10~3 jack-1951929~06-23~00~2546 jack-9334826~06-09~00~8 jack-6066971~06-30~00~2462 -~05-20~00~2 fortune-8257175~08-06~00~2 -~05-20~00~0 jack-0184330~06-17~00~10 jack-5282391~06-16~10~5 fortune-3196317~05-31~10~92 -~06-05~00~0 fortune-4546086~05-17~00~4 fortune-2168374~05-14~10~45993 jack-8689572~05-27~00~24256
8580080_482180|22|-~08-02~00~1 jack-8033581~07-29~10~27 jack-3346341~07-19~10~5 fortune-0306154~05-16~00~8 fortune-4534079~07-05~10~21 jack-4579645~07-18~10~7 jack-6960332~07-22~00~2 -~05-21~00~12440 -~07-04~00~1 jack-9081210~05-21~10~2 jack-5358658~07-03~10~4 fortune-1772858~05-29~00~66893 fortune-6522242~08-16~00~7049 -~07-05~00~1 jack-7754170~08-27~00~4 jack-4498015~06-14~00~2 fortune-9368277~07-06~00~2 fortune-7225940~07-17~10~9 -~07-07~00~0 fortune-1694322~05-25~10~69555 jack-2147930~06-11~10~8417 fortune-4941403~05-17~10~16878
85845583_383562|3|fortune-2666909~05-21~00~45 jack-3203774~05-22~00~9 jack-6184064~05-21~10~635
86046786_483549|3|fortune-7766349~06-03~00~25167 jack-0051267~08-06~11~36428 jack-2440320~06-17~10~3
86046786_501383|259|fortune-5753860~08-08~10~2 fortune-0124039~08-20~00~1 fortune-5693557~08-09~10~3 fortune-1115366~08-04~10~18012 fortune-6043059~07-31~00~4 jack-3594534~08-23~10~9 jack-2783552~08-05~00~3 fortune-9331572~08-13~10~13 jack-6642519~08-24~00~306 fortune-3278938~08-16~10~12 fortune-0192086~08-20~10~4407 fortune-6330745~08-10~00~0 fortune-4726913~08-13~10~5 -~08-15~00~2 jack-1382813~08-08~00~21471 fortune-3016634~08-17~00~0 -~07-23~00~2104 fortune-1057576~08-14~11~90 fortune-0669552~08-13~10~161 -~08-15~00~0 fortune-8699967~08-09~00~1 jack-1461787~07-24~10~1 jack-1669827~08-16~10~5 jack-7286918~08-04~10~2 fortune-2931543~08-01~10~4 fortune-4227566~08-17~10~113 jack-8839833~08-11~10~3 jack-1309716~07-26~10~1 jack-5670550~08-23~10~9 jack-4037404~08-07~10~1 fortune-6125727~07-26~00~0 jack-1456529~08-06~10~57 fortune-6979814~08-24~10~11 fortune-1379518~08-10~10~5 jack-2420363~08-27~00~1 fortune-1263163~08-16~00~1 fortune-3479820~08-19~00~1 jack-6268245~07-27~10~2 jack-9765547~08-16~10~4 fortune-1230410~07-28~10~1 jack-8117285~08-20~00~382 jack-3534201~08-01~00~2 fortune-7513577~08-09~00~2 fortune-1783086~08-16~10~280 -~08-11~00~0 fortune-5688467~08-24~10~5 fortune-4905765~08-15~00~39 jack-0716995~08-22~10~1 fortune-0834530~08-04~10~42 fortune-9775270~08-27~00~355 jack-4248194~08-20~00~5 -~07-26~00~0 fortune-4220972~08-01~00~3 fortune-8563913~08-03~11~30411 jack-7577975~07-15~00~15830 fortune-6922096~08-07~10~10691 jack-4865064~08-07~00~2 jack-3067752~07-29~10~34 -~08-04~00~0 fortune-1375383~07-25~00~3 fortune-4110624~07-29~00~5 jack-7341953~08-19~10~5 jack-3572839~07-25~00~2 SilverCrypto~08-06~10~1057 fortune-9770098~08-25~00~4 jack-8655774~07-24~00~2 -~08-15~00~1 fortune-5616110~07-26~10~6 fortune-0396838~07-28~10~1 fortune-6224969~07-25~10~9 jack-5370805~08-15~00~1 jack-6077357~07-24~00~201 fortune-7859173~08-22~10~3 fortune-6978160~08-20~00~419 jack-5059047~07-24~10~2 jack-9839162~07-28~00~1 fortune-5262368~08-17~10~1 jack-8826157~08-07~10~53 fortune-0601177~08-16~00~2 jack-2246422~08-15~10~3 fortune-0528803~07-15~10~4 fortune-3951640~08-28~10~1 jack-7021897~08-19~00~7191 jack-5546475~07-26~10~134 fortune-6584302~08-09~10~2 -~08-22~00~6 -~07-25~00~0 fortune-9799992~08-11~00~1 fortune-7220907~08-12~10~1 jack-4608262~08-25~10~1576 -~08-02~00~1 fortune-9030392~08-13~10~2 jack-9581397~07-26~00~1 -~08-19~00~2 jack-8766640~08-06~10~1 jack-5908996~08-01~10~2 fortune-5165419~08-01~10~31 -~08-12~00~0 jack-5033458~08-20~00~1 jack-9383022~08-15~10~16 jack-1958801~08-11~10~319 jack-6673553~08-03~00~15681 jack-7565255~08-18~00~1 fortune-7725836~08-18~10~4638 -~08-02~00~1 jack-4921483~07-24~10~38578 jack-9442483~08-21~00~15 jack-2607017~08-22~10~4 fortune-2460690~08-04~00~2 fortune-9710640~07-25~00~17 jack-9014078~08-21~00~2 fortune-9437963~08-27~00~0 fortune-7605187~08-19~10~21 fortune-9828388~08-28~00~0 jack-2364331~08-07~00~2 jack-1926783~08-20~10~2 jack-9604585~08-29~00~1 jack-1176187~07-28~00~406 fortune-3398122~08-12~10~3 jack-8823140~08-22~00~7 jack-3049136~08-05~10~2 jack-9953059~08-20~00~6 jack-8973615~07-31~00~11 -~07-30~00~0 jack-9245712~08-02~10~24151 Detroitcity313~07-27~10~789 jack-0809552~08-11~10~4 fortune-7465512~08-12~00~3996 fortune-1689771~08-10~00~17020 fortune-1072268~08-20~10~2 jack-5452858~07-28~10~2 jack-4190914~08-05~10~3 fortune-5477003~08-20~00~14 jack-7028847~08-02~00~1 jack-0613921~08-26~00~16 fortune-8809864~07-24~10~11 fortune-0910423~08-23~10~4052 jack-9697755~07-23~10~2 jack-4860328~08-23~10~11 fortune-5964097~08-19~10~4 fortune-8547860~07-26~10~96 jack-5641807~08-25~00~1 fortune-5546181~08-05~10~11 fortune-0969593~08-03~00~1 jack-8682190~08-22~10~16 jack-9243106~08-16~00~7 jack-7286884~08-21~00~5890 -~07-29~00~0 fortune-9070074~08-21~00~1 fortune-9562666~08-27~00~9 jack-6983126~08-25~00~7 jack-1487635~08-24~00~3 -~08-07~00~1 fortune-1773211~08-06~00~1 -~08-22~00~0 fortune-1139666~07-23~00~17137 fortune-7698812~08-15~11~1723 jack-3505996~08-18~10~1 jack-1882316~08-27~00~5 jack-1012652~07-31~10~7 -~07-27~00~1 jack-2148991~08-16~10~6 jack-9443244~08-26~00~1 jack-1645297~08-21~11~4246 fortune-2017384~08-11~00~1 fortune-3280103~08-16~10~2 fortune-9106794~08-23~00~42 fortune-6276016~08-14~10~1 jack-6936891~08-14~00~27 fortune-2734451~08-16~00~2 fortune-6773392~07-26~10~2 fortune-2885282~08-24~10~4 jack-8295690~08-08~10~2 -~08-17~00~0 fortune-8735522~08-03~00~3 fortune-0680543~08-11~10~2 jack-5198776~08-19~10~4 fortune-6697397~08-13~10~90 jack-5696605~08-14~00~4 jack-5360802~07-31~10~1 jack-8271754~08-10~00~2 fortune-8451320~08-03~10~29 fortune-7886889~08-09~00~2 fortune-7724801~07-27~10~3 fortune-1463100~07-30~10~4 fortune-3943993~08-15~10~0 jack-2140920~08-02~10~264 fortune-0111400~08-21~00~0 fortune-5029316~08-15~10~112 jack-5631268~08-19~00~9 -~07-23~00~3 fortune-8590547~07-27~00~12 fortune-0367028~08-04~10~10 jack-8679398~08-06~00~3 fortune-4629057~07-27~10~1 fortune-7499966~07-28~10~45344 fortune-1418336~08-08~00~4 fortune-1560233~08-13~00~0 fortune-2464063~08-03~00~1 jack-5412200~08-07~00~23 jack-6802755~08-09~10~10 fortune-3293334~08-18~00~1155 fortune-1203562~08-16~00~1 jack-4584078~08-04~10~3 jack-1762221~08-04~10~62 Svenbvb~08-10~10~81 fortune-2850556~07-24~00~215 jack-7756946~08-18~10~21 fortune-3285230~07-29~00~0 jack-2784728~08-25~00~2 jack-8329569~07-27~10~6 fortune-4879172~07-25~00~16 fortune-5435863~08-16~00~4 fortune-5751428~08-22~00~2 jack-6589047~08-09~00~72 fortune-2276797~08-06~10~23 jack-7309311~07-31~10~3 fortune-1463289~08-05~00~1 jack-9739628~08-14~00~0 jack-8328631~08-07~00~1 fortune-5826643~07-31~10~5065 jack-3341405~08-17~00~1 jack-0889965~08-16~10~37 fortune-2379004~07-25~00~5 jack-1544217~08-02~00~1 fortune-2895140~08-21~10~76 fortune-8734919~08-03~10~66 -~08-01~00~0 fortune-4228094~08-04~10~1 fortune-3367093~08-12~00~6 jack-2827364~08-09~00~1 Mirk8~08-27~10~379 jack-5214104~07-23~10~5 jack-1870560~08-23~00~0 fortune-1496082~08-07~00~1 jack-0895613~07-28~10~4 fortune-7226998~08-05~00~2 fortune-1529059~08-26~10~8 fortune-4951847~07-29~00~1 jack-5921022~08-20~10~3 jack-2215993~08-05~10~7438 jack-1927988~08-29~00~1 jack-5493983~08-01~00~4 fortune-4867421~08-22~10~2 jack-9625724~08-05~00~649 jack-9676227~07-29~00~8 jack-7575044~08-28~10~557 fortune-1526137~08-21~00~7 -~08-26~00~0 fortune-3782716~07-23~00~1 jack-0763470~08-26~10~1 -~08-13~00~0 -~07-23~00~1 fortune-3331642~08-09~00~5 jack-7964147~08-14~10~2 jack-6862872~08-15~10~12585 jack-4793072~08-02~00~3 jack-3754780~08-05~00~0 fortune-3450530~08-04~00~1
86046786_503972|7|fortune-1110020~08-11~11~5685 fortune-6826140~08-18~00~1 fortune-8954978~08-18~10~1 xAerosx~08-05~00~1 jack-6405244~08-24~10~23 fortune-5114064~08-19~10~3 -~08-18~00~0
86287309_390209|4|jack-0066020~06-19~10~4 jack-6078198~07-07~10~34 jack-1070258~07-10~00~134 jack-9487723~05-23~10~2
865322_424088|298|fortune-2021105~05-23~10~1 -~06-01~00~2 -~06-23~00~1 jack-9749174~07-05~11~77076 jack-5057039~06-20~00~23581 jack-8940077~07-28~10~8886 fortune-1605054~06-30~00~1 alexbeatsme~07-03~10~3 fortune-2568444~05-20~10~13432 jack-2968087~07-02~11~23 fortune-6826522~06-01~00~3 fortune-8460433~05-24~10~8 -~05-17~00~1 jack-3427532~06-17~00~1785 jack-2116556~06-27~10~5 fortune-7446227~05-23~10~1138 fortune-3266393~06-13~10~14429 -~05-16~00~0 -~06-23~00~1 jack-9996948~06-19~10~2 -~06-07~00~0 jack-6922800~05-19~10~1 jack-2060709~06-13~00~75 -~05-31~00~1 patitoninja~06-23~00~6105 fortune-1126323~05-24~10~12752 fortune-6956794~06-29~00~1 -~06-20~00~3 jack-2398364~06-27~10~14012 Uma11~06-01~00~3 fortune-4097380~06-13~10~35404 -~06-06~00~1 jack-6570443~05-26~00~5339 jack-6827135~05-16~10~1403 fortune-7351764~06-25~00~3 jack-1957003~05-24~00~11537 fortune-0328431~05-26~10~22927 jack-6194854~06-11~00~1 jack-1950110~06-17~10~1 fortune-5812333~06-11~00~4 jack-1639646~05-15~10~44266 fortune-1008141~05-13~00~4 jack-4810942~06-04~10~11 fortune-0277637~06-01~10~198 fortune-6712598~05-25~10~10 -~06-09~00~2 jack-6280652~05-22~00~15585 jack-1187896~08-19~10~12 fortune-1485579~06-23~00~8774 -~05-25~00~1 -~05-19~00~1 fortune-1137445~06-16~10~9 fortune-6420788~08-18~10~104 fortune-1719166~06-14~00~85 -~06-20~00~1 fortune-4525026~05-25~00~25835 fortune-5588465~06-07~00~12 fortune-1999636~06-10~10~2 fortune-5328035~07-01~10~184 -~05-18~00~1 -~05-17~00~3 jack-6485021~05-18~00~2037 fortune-9849719~06-03~00~33 -~06-22~00~2 fortune-6849841~06-06~00~2 fortune-5725166~05-26~10~11955 jack-1394548~05-18~10~119601 hubo45~05-31~00~2709 -~06-05~00~7 jack-9993992~06-21~10~8 jack-4950181~06-16~00~84 fortune-7545477~06-13~00~941 jack-6538460~06-14~10~18870 fortune-3873005~05-22~00~24994 shayy187~06-03~10~114643 fortune-3926299~05-30~10~47010 -~05-16~00~1 -~05-28~00~2 jack-0654191~05-28~00~4 jack-1017142~06-13~10~29725 jack-8697083~06-16~00~8 -~06-16~00~3 fortune-3977359~06-06~10~36872 fortune-6695631~07-28~10~1 -~05-14~00~2 jack-6704778~06-24~10~7952 -~05-25~00~1 jack-6454003~06-09~00~4 jack-8540148~05-18~10~4 -~06-09~00~1 fortune-4484819~05-29~10~26842 jack-7989472~08-10~00~4 -~05-23~00~1 fortune-3587314~06-08~10~5 -~05-18~00~0 -~06-22~00~1 -~05-25~00~1 fortune-1608820~06-21~00~3414 fortune-3453685~07-01~00~3 -~05-31~00~1 jack-1872310~06-25~00~1 fortune-9136485~06-30~10~2 jack-3557791~06-10~00~3 jack-4051231~06-06~10~1 -~06-17~00~1 fortune-3134689~05-22~10~2 jack-7347449~05-27~00~15438 fortune-7710569~05-21~00~4360 jack-0148697~06-26~10~4 fortune-5896227~06-30~00~4 fortune-7961809~06-26~00~9 -~06-14~00~2 jack-4960400~08-08~00~368 fortune-8888449~06-15~00~402 -~05-27~00~3 Rainen~06-12~00~1 fortune-0209347~06-13~00~1 -~06-27~00~1 fortune-4279588~05-29~00~44360 -~06-08~00~1 fortune-2662682~06-03~10~52149 -~06-19~00~1 -~06-15~00~0 jack-7755496~08-08~10~2 jack-8589123~06-06~00~5761 jack-6016100~06-13~10~33793 jack-9913609~05-25~00~587 fortune-7685505~06-15~00~2579 -~05-16~00~28143 fortune-9690061~05-16~10~14 -~06-19~00~1 fortune-4475139~07-11~10~38 fortune-3011731~06-20~10~15 fortune-9619857~05-16~10~40449 -~05-21~00~1 -~05-15~00~4 jack-3753247~06-13~10~14 jack-4115965~06-18~10~26 doccgod~06-16~10~9309 fortune-2666935~05-26~00~23293 fortune-0051649~06-16~10~153 jack-1709338~06-29~10~4 jack-9371671~06-28~10~17 jack-3917838~05-18~00~12 -~06-22~00~4 fortune-9660144~06-02~00~606 -~06-06~00~1 -~06-19~00~26970 jack-1775958~06-04~10~112433 jack-5024802~05-14~00~17404 fortune-5132457~06-05~10~2 jack-5378622~06-15~00~84565 -~06-06~00~14191 jack-5654549~06-24~00~3 -~05-31~00~1 fortune-9385836~06-21~10~1 -~05-16~00~0 jack-6594559~05-26~10~135993 fortune-1710957~07-03~11~5423 -~05-23~00~1 jack-5621628~05-31~10~19363 -~06-08~00~1 Donniedarko444~05-21~00~1 fortune-5624407~06-25~00~4 fortune-8056540~06-23~00~68553 -~06-22~00~2 -~06-11~00~1 -~05-21~00~1 fortune-4010944~06-07~10~52305 -~06-18~00~0 jack-9765790~06-11~10~3 jack-6720443~05-23~00~10 jack-6826950~06-16~00~1 fortune-3769480~06-17~00~15 fortune-4809929~06-08~10~64213 fortune-8464537~05-17~10~37116 fortune-3392134~06-29~10~11 jack-7562295~06-18~00~4 -~06-14~00~1 -~05-28~00~1 fortune-6343920~06-10~00~2 -~06-21~00~1 -~05-27~00~1 jack-9962317~06-13~00~5 fortune-4134954~06-14~00~2 rcbear17~05-24~00~1 -~05-30~00~3 jack-9020428~05-15~10~39813 -~06-14~00~1 jack-3691827~05-29~10~54726 fortune-5919883~05-25~00~2443 jack-2081099~08-10~10~3 fortune-8535737~05-20~00~65782 fortune-6761947~07-25~10~18 -~06-20~00~1 jack-0737316~06-09~10~4 fortune-1598974~06-12~10~13 jack-9401454~06-17~00~4 jack-6173441~07-01~00~2 -~05-24~00~2 fortune-3684492~08-04~11~6 jack-7781743~05-24~00~406 jack-0933561~06-19~00~3 -~05-27~00~0 fortune-1124482~06-15~10~7 jack-6429480~06-26~00~48746 fortune-4625649~05-31~10~3588 fortune-2917087~06-04~00~12 jack-1427445~05-28~00~449 fortune-1418420~06-08~00~3 fortune-5207538~06-17~10~26330 jack-2371252~05-21~00~37635 LYZESTYLZ~05-19~11~146620 -~06-20~00~1 jt1985~05-15~10~150786 -~05-16~00~3 jack-3416900~06-14~10~122 fortune-2265241~06-20~00~5 jack-8769189~06-06~10~5 -~06-19~00~1 jack-6808522~06-10~00~6 jack-8990078~05-16~00~338 joelhowe111~06-30~11~120267 jack-6159829~06-03~10~6 -~05-16~00~3 fortune-4065908~05-19~00~32950 fortune-7501031~06-28~10~45738 fortune-8532593~05-31~10~4 DBOOO~06-18~10~19477 jack-3488272~05-20~00~7 -~05-26~00~3 fortune-2810778~05-26~00~2106 jack-3428860~06-03~10~12 fortune-8045263~06-02~00~115287 fortune-8851506~05-16~10~5 fortune-4172079~06-30~00~6 fortune-5613412~05-26~00~4 fortune-3298096~08-23~10~10 fortune-7940495~05-31~10~3 -~05-30~00~1 jack-8812318~06-14~10~1 jack-6801952~06-24~10~1870 jack-0008131~07-01~00~3 jack-3367016~06-23~10~13114 jack-9553601~06-02~10~11941 fortune-8803430~06-03~00~3 fortune-6152096~06-13~10~1 jack-3864190~05-24~10~71977 jack-1405850~05-31~10~11458 -~06-13~00~0 fortune-5455160~05-28~10~20124 jack-3592417~05-28~10~61502 -~05-15~00~1 -~05-17~00~1 jack-2758370~05-20~10~124 -~07-27~00~1 jack-2478766~07-14~00~46398 fortune-3756470~06-09~10~8381 fortune-9576695~07-01~10~9 fortune-7904056~05-27~11~25695 jack-8159217~06-01~00~2 jack-4869895~05-18~00~3 -~06-01~00~1 fortune-0440590~06-25~10~9 jack-6270062~08-06~10~5 jack-9162496~06-14~00~2 fortune-1079705~06-08~10~2 fortune-0602472~06-08~10~16 fortune-7693395~06-14~00~99 -~06-15~00~2 jack-2481047~06-05~10~10448 jack-9698937~06-28~10~339 -~06-09~00~0 fortune-2065933~06-30~00~4 -~05-27~00~1 fortune-2501373~05-14~10~21487 jack-9475088~06-05~10~6 jack-6093332~05-15~00~3 fortune-3042481~06-12~00~1 fortune-0649696~05-15~10~1 jack-8022258~06-28~10~1 Hiloclapper~06-21~10~1204 fortune-1294377~06-24~10~63740 fortune-6968345~06-12~00~5 -~06-08~00~0 -~06-10~00~1 -~06-08~00~4 -~06-18~00~2 jack-5121884~07-26~10~1 -~06-01~00~1 -~06-28~00~1 fortune-2286700~06-15~10~13 -~05-19~00~3 fortune-6944067~06-13~00~8 fortune-5000085~07-13~10~77 jack-0185650~06-07~10~40893 -~06-01~00~1 jack-3929258~06-22~10~2
88809201_428652|5|fortune-2909989~07-26~00~1 fortune-2276708~08-01~00~13387 -~06-17~00~0 fortune-9500844~08-12~11~2096 jack-6294303~08-22~10~27
90589070_505575|43|-~08-25~00~1 jack-1269193~08-19~11~7 -~08-27~00~0 -~08-28~00~1 -~08-26~00~1 jack-6257259~08-16~00~10 -~08-23~00~0 -~08-21~00~0 fortune-8567762~08-29~11~132 -~08-29~00~3 fortune-0533458~08-15~11~10436 -~08-23~00~0 -~08-19~00~3 -~08-29~00~8178 -~08-25~00~1 -~08-15~00~2 fortune-2426527~08-27~11~105 fortune-8051986~08-15~00~3 fortune-6066397~08-14~11~8 fortune-1261033~08-23~11~1427 -~08-20~00~1 jack-4530047~08-28~00~2 fortune-2969086~08-18~11~2335 jack-4213105~08-29~11~113 -~08-16~00~0 -~08-11~00~2 jack-3792274~08-28~11~77 fortune-4990531~08-14~00~3 -~08-20~00~1 -~08-28~00~7996 -~08-29~00~8018 fortune-7631662~08-14~11~11453 -~08-24~00~2 fortune-2494859~08-26~11~66 jack-4427942~08-26~11~948 jack-3655734~08-14~00~6 fortune-3759146~08-14~00~8 -~08-21~00~0 jack-6522783~08-24~11~4 jack-2759012~08-14~00~2 jack-4537291~08-22~11~10136 -~08-20~00~1 -~08-18~00~1
